paper,edition
Exploiting Unrelated Tasks in Multi-Task Learning.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Causal Time Series Analysis of Functional Magnetic Resonance Imaging Data.,"Neural Information Processing Systems (NIPS) Mini-Symposium on Causality in Time Series, Vancouver, Canada, December 10, 2009"
Open Problem: Learning Dynamic Network Models from a Static Snapshot.,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Optimal Distributed Market-Based Planning for Multi-Agent Systems with Shared Resources.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Feature Extraction for Outlier Detection in High-Dimensional Spaces.,"Proceedings of the Fourth International Workshop on Feature Selection in Data Mining, FSDM, held at PAKDD 2010, Hyderabad, India, June 21st, 2010"
Lanczos Approximations for the Speedup of Kernel Partial Least Squares Regression.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Sufficient Dimension Reduction via Squared-loss Mutual Information Estimation.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Structure Identification by Optimized Interventions.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Contextual Bandits with Similarity Information.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
A metric learning perspective of SVM: on the relation of LMNN and SVM.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
The Kernel Path in Kernelized LASSO.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
Flexible Martingale Priors for Deep Hierarchies.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Fast Active-set-type Algorithms for L1-regularized Linear Regression.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Unsupervised Aggregation for Classification Problems with Large Numbers of Categories.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Asymptotic Theory for Linear-Chain Conditional Random Fields.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Relational Learning with One Network: An Asymptotic Analysis.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Multi-label Classification with Error-correcting Codes.,"Proceedings of the 3rd Asian Conference on Machine Learning, ACML 2011, Taoyuan, Taiwan, November 13-15, 2011"
Future directions in learning to rank.,"Proceedings of the Yahoo! Learning to Rank Challenge, held at ICML 2010, Haifa, Israel, June 25, 2010"
Coherence Functions for Multicategory Margin-based Classification Methods.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Why Does Unsupervised Pre-training Help Deep Learning?,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Accelerating AdaBoost using UCB.,"Proceedings of KDD-Cup 2009 competition, Paris, France, June 28, 2009"
CorrLog: Correlated Logistic Models for Joint Prediction of Multiple Labels.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Bayesian Algorithms for Causal Data Mining.,"Causality: Objectives and Assessment (NIPS 2008 Workshop), Whistler, Canada, December 12, 2008"
Information Retrieval by Inferring Implicit Queries from Eye Movements.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
The Neural Autoregressive Distribution Estimator.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Preface.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Speeding Up Syntactic Learning Using Contextual Information.,"Proceedings of the Eleventh International Conference on Grammatical Inference, ICGI 2012, University of Maryland, College Park, USA, September 5-8, 2012"
Latent Variable Models for Dimensionality Reduction.,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, AISTATS 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
Probabilistic acoustic tube: a probabilistic generative model of speech for speech analysis/synthesis.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Sparsity Regret Bounds for Individual Sequences in Online Linear Regression.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Evaluation Method for Feature Rankings and their Aggregations for Biomarker Discovery.,"Proceedings of the third International Workshop on Machine Learning in Systems Biology, MLSB 2009, Ljubljana, Slovenia, September 5-6, 2009"
Multi-task Learning for Recommender System.,"Proceedings of the 2nd Asian Conference on Machine Learning, ACML 2010, Tokyo, Japan, November 8-10, 2010"
"Distributed Learning, Communication Complexity and Privacy.","COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Kernels Based Tests with Non-asymptotic Bootstrap Approaches for Two-sample Problems.,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Nonparametric Estimation of Conditional Information and Divergences.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Open Problem: Does AdaBoost Always Cycle?,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Multi-object tracking with representations of the symmetric group.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
A Strategy for Making Predictions Under Manipulation.,"Causation and Prediction Challenge at WCCI 2008, Hong Kong, June 1-6, 2008"
Tight conditions for consistent variable selection in high dimensional nonparametric regression.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
On the Convergence Properties of Contrastive Divergence.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Reduced-Rank Hidden Markov Models.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Cumulative Restricted Boltzmann Machines for Ordinal Matrix Data Analysis.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
Deep Learning Made Easier by Linear Transformations in Perceptrons.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Learning from Weak Teachers.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Sufficient covariates and linear propensity analysis.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Variable Selection for Gaussian Graphical Models.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Multi-view Positive and Unlabeled Learning.,"Proceedings of the 4th Asian Conference on Machine Learning, ACML 2012, Singapore, Singapore, November 4-6, 2012"
Boosted Optimization for Network Classification.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Random Design Analysis of Ridge Regression.,"COLT 2012 - The 25th Annual Conference on Learning Theory, June 25-27, 2012, Edinburgh, Scotland"
Fast b-matching via Sufficient Selection Belief Propagation.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Multi-Label Output Codes using Canonical Correlation Analysis.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Causality with Gates.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Scalable Personalization of Long-Term Physiological Monitoring: Active Learning Methodologies for Epileptic Seizure Onset Detection.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Bayesian structure discovery in Bayesian networks with less space.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Efficient Hypergraph Clustering.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
Lifted Linear Programming.,"Proceedings of the Fifteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2012, La Palma, Canary Islands, Spain, April 21-23, 2012"
On Combining Graph-based Variance Reduction schemes.,"Proceedings of the Thirteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2010, Chia Laguna Resort, Sardinia, Italy, May 13-15, 2010"
Keyword Optimization in Sponsored Search via Feature Selection.,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
Distribution-Independent Evolvability of Linear Threshold Functions.,"COLT 2011 - The 24th Annual Conference on Learning Theory, June 9-11, 2011, Budapest, Hungary"
Spectral Chinese Restaurant Processes: Nonparametric Clustering Based on Similarities.,"Proceedings of the Fourteenth International Conference on Artificial Intelligence and Statistics, AISTATS 2011, Fort Lauderdale, USA, April 11-13, 2011"
Fast Mean Shift with Accurate and Stable Convergence.,"Proceedings of the Eleventh International Conference on Artificial Intelligence and Statistics, AISTATS 2007, San Juan, Puerto Rico, March 21-24, 2007"
