author_id,affiliation
Xudong Zeng,ARIZONA COLLEGE-DALLAS
Kevin L. Reffett,FONTBONNE UNIVERSITY
Lukasz Balbus,UNIVERSITY OF SOUTH DAKOTA
Lukasz Wozny,SAN DIEGO CHRISTIAN COLLEGE
Mallesh M. Pai,HAWAII PACIFIC UNIVERSITY
Manuel Mueller-Frank,GEORGETOWN COLLEGE
Qi Li,ERSKINE COLLEGE
Yuki Shigeta,EVANGELICAL THEOLOGICAL SEMINARY
Charles Zhoucheng Zheng,NORTHWESTERN STATE UNIVERSITY OF LOUISIANA
David Turchick,SUNY EMPIRE STATE COLLEGE
Siyang Xiong,OREGON HEALTH & SCIENCE UNIVERSITY
Jin Xu,NEWSCHOOL OF ARCHITECTURE AND DESIGN
Yves Zenou,DEFIANCE COLLEGE
Elisheva S. Shamash,DEVRY UNIVERSITY-TENNESSEE
Ron Lavi,CINCINNATI COLLEGE OF MORTUARY SCIENCE
Can Tian,MERCYHURST UNIVERSITY
Peter G. Hansen,CHATHAM UNIVERSITY
Omkaresh Kulkarni,VITERBO UNIVERSITY
Ravi Sankar Vadali,EVANGEL UNIVERSITY
Heniguli Wumaier,CARTHAGE COLLEGE
Jian Gao,HAMILTON TECHNICAL COLLEGE
Jin Zhou,SOUTHEAST MISSOURI STATE UNIVERSITY
Lin Li,WENTWORTH INSTITUTE OF TECHNOLOGY
Rui Zhang,TELSHE YESHIVA-CHICAGO
Wenfeng Zhao,SOUTHERN CONNECTICUT STATE UNIVERSITY
Xiaojie Li,DAKOTA STATE UNIVERSITY
Xichang Li,DREXEL UNIVERSITY
Xudong Zhang,PRESIDIO GRADUATE SCHOOL
Zhipei Yu,NORTHEASTERN SEMINARY
Zhonghui Hu,NOTRE DAME OF MARYLAND UNIVERSITY
Haiyang Lv,CLEMSON UNIVERSITY
Xiuling Fan,NORTHERN BAPTIST THEOLOGICAL SEMINARY
Zhao-Long Wang,SOUTHERN OREGON UNIVERSITY
Jianwei Zhang 0002,MOUNT SAINT JOSEPH UNIVERSITY
Wei Duan,UNIVERSITY OF ROCHESTER
Xuetao Mao,SOUTH TEXAS COLLEGE OF LAW HOUSTON
Lin Tang,WESTERN OREGON UNIVERSITY
Hongjiang Zheng,CONCORDIA COLLEGE
Huixian Wang,DONGGUK UNIVERSITY LOS ANGELES
Weiwei Wu,DALLAS THEOLOGICAL SEMINARY
Nallamothu Nagamalleswara Rao,CHAMBERLAIN UNIVERSITY-MISSOURI
Pamarthi NagaRaju,SOUTHERN UNIVERSITY AT NEW ORLEANS
Wei Yang,SAN IGNACIO UNIVERSITY
Yinghua Feng,BUENA VISTA UNIVERSITY
Xianghong Li,UNIVERSITY OF MINNESOTA-TWIN CITIES
Girish P. Bhole,HOPE COLLEGE OF ARTS AND SCIENCES
Kapil Netaji Vhatkar,NORTHWESTERN COLLEGE
Li Qian,MOLLOY COLLEGE
Jingyi Li,MILES COLLEGE
Jidong Sha,KENTUCKY WESLEYAN COLLEGE
Rongna Geng,ST. THOMAS UNIVERSITY
Yuanyuan Li,THE SANTA BARBARA AND VENTURA COLLEGES OF LAW AT VENTURA
Guangxu Yu,SOUTHERN CALIFORNIA INSTITUTE OF ARCHITECTURE
Hiromi Nakagawa,QUINNIPIAC UNIVERSITY
Yusuke Iwasawa,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SCHOOL OF OPTOMETRY
Yutaka Matsuo,SOUTH UNIVERSITY-WEST PALM BEACH
Catherine Sotirakou,BLUE MOUNTAIN COLLEGE
Constantinos Mourlas,NEWBERRY COLLEGE
Damian Trilling,MID-AMERICA COLLEGE OF FUNERAL SERVICE
Dimitrios Alexandros Sinis,LEWIS UNIVERSITY
Panagiotis Germanakos,UNIVERSITY OF PHOENIX-NORTH CAROLINA
Dajiang He,CUNY LEHMAN COLLEGE
Jun Shu,COVENANT COLLEGE
Wei Shu,COLORADO SCHOOL OF MINES
Gangadhara Rao Kancherla,OUR LADY OF THE LAKE UNIVERSITY
Hanumantha Rao Nadendla,LYCOMING COLLEGE
Srikrishna Atluri,QUINNIPIAC UNIVERSITY
Guowei Wang,SANS TECHNOLOGY INSTITUTE
Jianxiu Bi,WELLS COLLEGE
Lin Li 0001,PENNSYLVANIA STATE UNIVERSITY-PENN STATE HARRISBURG
Sijie Long,LIFE PACIFIC UNIVERSITY
Xiaohui Tao,UNITED TALMUDICAL SEMINARY
Ganesh Viswanathan,METHODIST THEOLOGICAL SCHOOL IN OHIO
Prabhu J,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA
Luxin Cai,WASHINGTON ADVENTIST UNIVERSITY
Naiyue Chen,UNIVERSITY OF HOUSTON-DOWNTOWN
Yi Jin 0001,BAYLOR COLLEGE OF MEDICINE
Yinglong Li,SOUTHERN UTAH UNIVERSITY
Chen Chen,NORTHLAND COLLEGE
Li Yang,CAMBRIDGE COLLEGE
Xunan Jia,TALMUDICAL SEMINARY OHOLEI TORAH
C. Narendra Babu 0001,EMPEROR'S COLLEGE OF TRADITIONAL ORIENTAL MEDICINE
Sudhir Kumar Patnaik,DREW UNIVERSITY
Linlin Zhang,UNIVERSITY OF MISSOURI-COLUMBIA
Sujuan Zhang,WESTERN CAROLINA UNIVERSITY
Andrea Zanoni,SCHOOL OF VISUAL ARTS
Giuseppe Quaranta,MECHON L'HOYROA
Manuela Galli,DOMINICAN UNIVERSITY OF CALIFORNIA
Matteo Zago,STARR KING SCHOOL FOR THE MINISTRY
Pierangelo Masarati,BRIDGEWATER STATE UNIVERSITY
Rita Paolini,MISSOURI WESTERN STATE UNIVERSITY
Adriana Arza 0001,BARTON COLLEGE
David Atienza,HIRAM COLLEGE
Fabio Dell'Agnola,EMORY UNIVERSITY
José del R. Millán,UNIVERSITY OF MARYLAND GLOBAL CAMPUS
Ping-Keng Jao,WRIGHT GRADUATE UNIVERSITY FOR THE REALIZATION OF HUMAN POTENTIAL
Ricardo Chavarriaga,CONCORDIA UNIVERSITY-WISCONSIN
Guoyuan Li,PUERTO RICO SCHOOL OF NURSE ANESTHETISTS
Hans Petter Hildre,SEATTLE FILM INSTITUTE
Houxiang Zhang,CONCORDIA UNIVERSITY-SAINT PAUL
Runze Mao,BRYANT & STRATTON COLLEGE-VIRGINIA BEACH
Alexandre Moïse,STEVENS-HENAGER COLLEGE
Ayad Nasser-dine,DOMINICAN UNIVERSITY OF CALIFORNIA
James Lapalme,UNIVERSITY OF SOUTH CAROLINA BEAUFORT
Aljaz Baumkircher,UNIVERSITY OF PHOENIX-NORTH CAROLINA
Marko Munih,GRACELAND UNIVERSITY-LAMONI
Matjaz Mihelj,BLOOMSBURG UNIVERSITY OF PENNSYLVANIA
Andras Kemeny,DICKINSON COLLEGE
Carolina Rengifo,WABASH COLLEGE
Hakim Mohellebi,ERIKSON INSTITUTE
Jean-Rémy Chardonnet,DEVRY UNIVERSITY-NORTH CAROLINA
Decebal Popescu,BRYANT & STRATTON COLLEGE-VIRGINIA BEACH
Mircea Ivanescu,PACIFIC COLLEGE OF ORIENTAL MEDICINE-NEW YORK
Nirvana Popescu,IDAHO COLLEGE OF OSTEOPATHIC MEDICINE
Inigo Sanz-Pena,LOYOLA UNIVERSITY NEW ORLEANS
Joo H. Kim,PENNSYLVANIA COLLEGE OF TECHNOLOGY
Julio Blanco-Fernández,SUNY DOWNSTATE HEALTH SCIENCES UNIVERSITY
Adrián Romero-Garcés,FAULKNER UNIVERSITY
Alvaro Dueñas-Ruiz,UNIVERSITY OF CALIFORNIA-MERCED
Ana Iglesias,AVERETT UNIVERSITY-NON-TRADITIONAL PROGRAMS
Angel García Olaya,EMMAUS BIBLE COLLEGE
Antonio Bandera,WESTERN CONNECTICUT STATE UNIVERSITY
Cristina Suárez-Mejías,FITCHBURG STATE UNIVERSITY
Dimitri Voilmy,MASSACHUSETTS MARITIME ACADEMY
Fernando Fernández 0001,FRAMINGHAM STATE UNIVERSITY
Javier García 0001,EASTERN NEW MEXICO UNIVERSITY-MAIN CAMPUS
Karine Lan Hing Ting,BYZANTINE CATHOLIC SEMINARY OF SAINTS CYRIL AND METHODIUS
Raquel Fuentetaja 0001,AMERICAN UNIVERSITY OF PUERTO RICO
Rebeca Marfil,SCRIPPS COLLEGE
Jan Dufek,LOUISVILLE PRESBYTERIAN THEOLOGICAL SEMINARY
Robin R. Murphy,MOORE COLLEGE OF ART AND DESIGN
Xuesu Xiao,UNIVERSITY OF NORTH ALABAMA
Abdulhadi Shoufan,ELMHURST UNIVERSITY
Ernesto Damiani,INTER AMERICAN UNIVERSITY OF PUERTO RICO-FAJARDO
Ruba Alkadi,ATLANTIS UNIVERSITY
Sultan Al-Ameri,CASE WESTERN RESERVE UNIVERSITY
Jun He 0006,EASTERN VIRGINIA MEDICAL SCHOOL
Kun Wang,NAVAJO TECHNICAL UNIVERSITY
Lei Zhang 0130,XAVIER UNIVERSITY OF LOUISIANA
Beatrix Vereijken,UNIVERSITY OF WISCONSIN-MADISON
Elise Klæbo Vonstad,STEPHEN F AUSTIN STATE UNIVERSITY
Jan Harald Nilsen,UNIVERSITY OF ARIZONA-SIERRA VISTA
Kerstin Bach,UNIVERSITY OF GUAM
Xiaomeng Su,TENNESSEE WESLEYAN UNIVERSITY
Curran Reddy,MARIAN UNIVERSITY
Wei Yin,NORTHERN STATE UNIVERSITY
Yu Zhou,SHAWNEE STATE UNIVERSITY
Beau G. Schelble,CORNELL COLLEGE
Lorenzo Barberis Canonico,"BEXLEY HALL SEABURY WESTERN THEOLOGICAL SEMINARY FEDERATION, INC."
Mustafa Demir,UNIVERSITY OF ARKANSAS-FORT SMITH
Nathan J. McNeese,OZARK CHRISTIAN COLLEGE
Nabeel Siddiqui,SAN DIEGO GLOBAL KNOWLEDGE UNIVERSITY
Rosa H. M. Chan,STETSON UNIVERSITY
Alexis Basantis,WESTERN SEMINARY
M. Lucas Neurauter,PINE MANOR COLLEGE
Marty Miller,ALABAMA A & M UNIVERSITY
Zachary Doerzaph,MCDANIEL COLLEGE
Connor Phillips,WHEATON COLLEGE
Fatemeh Zahedi,CENTRAL CONNECTICUT STATE UNIVERSITY
Hyunglae Lee,VOORHEES COLLEGE
James Arnold,CATHOLIC DISTANCE UNIVERSITY
Neethu Robinson,NORTHERN ARIZONA UNIVERSITY
Smitha K. G.,DEVRY UNIVERSITY-VIRGINIA
Tan Wei Jie Chester,PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS
Huiping Zhou,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT XAVIER UNIVERSITY OF LOUISIANA
Makoto Itoh,UNIVERSITY OF WEST LOS ANGELES
Satoshi Kitazaki,COLUMBIA COLLEGE CHICAGO
En Wang,UNIVERSITY OF DETROIT MERCY
Hengzhi Wang,REGIS UNIVERSITY
Liang Wang 0017,WARREN WILSON COLLEGE
Qiang Li 0008,NEW ORLEANS BAPTIST THEOLOGICAL SEMINARY
Yongjian Yang,RIPON COLLEGE
Zhiyong Yu 0001,OUR LADY OF THE LAKE UNIVERSITY
Bi Zhang,ST. JOHN'S COLLEGE-DEPARTMENT OF NURSING
Guangjun Liu,LIPSCOMB UNIVERSITY
Xiaowei Tan,NORTHERN NEW MEXICO COLLEGE
Xingang Zhao,OUR LADY OF THE LAKE UNIVERSITY
Yiwen Zhao,UNIVERSITY OF HEALTH SCIENCES AND PHARMACY IN ST. LOUIS
Lokesh Kumar T.,NATIONAL UNIVERSITY OF NATURAL MEDICINE
Luis A. Leiva,DAVIS & ELKINS COLLEGE
Annette Hagengruber,YESHIVA GEDOLAH KEREN HATORAH
Björn M. Eskofier,STOCKTON UNIVERSITY
Jörn Vogel,CHAMBERLAIN UNIVERSITY-OHIO
Ulrike Leipscher,OUACHITA BAPTIST UNIVERSITY
Ligang Yao,ARIZONA STATE UNIVERSITY-DOWNTOWN PHOENIX
Lin Guo,PAIER COLLEGE OF ART INC
Zongxing Lu,SAINT AUGUSTINE'S UNIVERSITY
António Valente,COLUMBIA COLLEGE
José Vasconcelos-Raposo,UNIVERSITY OF SCIENCE AND ARTS OF OKLAHOMA
Maximino Bessa,SLIPPERY ROCK UNIVERSITY OF PENNSYLVANIA
Miguel Melo,KENTUCKY MOUNTAIN BIBLE COLLEGE
Pedro Monteiro,MURRAY STATE UNIVERSITY
Can Xu,CARRINGTON COLLEGE-ADMINISTRATIVE OFFICE
Chunyan Wang 0013,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT ANAHEIM
Lin Li 0056,WALDEN UNIVERSITY
Qingyun Chen,STEVENS-HENAGER COLLEGE
Shijuan Dai,WEST COAST UNIVERSITY-DALLAS
Wanzhong Zhao,THE MASTER'S UNIVERSITY AND SEMINARY
Jiahui Liu,BRESCIA UNIVERSITY
Jiannan Chi,UNIVERSITY OF WISCONSIN-PARKSIDE FLEX
Wenxue Hu,MERCY COLLEGE
Zhiliang Wang,SUFFOLK UNIVERSITY
Carlo Menon,COE COLLEGE
Umme Zakia,CAIRN UNIVERSITY-LANGHORNE
Güliz Tokadli,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT WASHINGTON DC
Michael C. Dorneich,ATHENS STATE UNIVERSITY
Ramanathan Annamalai,NOSSI COLLEGE OF ART
Ana C. Lopes,WEST COAST UNIVERSITY-DALLAS
Aniana Cruz,OHIO VALLEY UNIVERSITY
Carlos Carona,INTER AMERICAN UNIVERSITY OF PUERTO RICO-BAYAMON
Gabriel Pires,EAST-WEST UNIVERSITY
Urbano J. Nunes,KETTERING COLLEGE
Bin Hu 0005,UNIVERSITY OF TOLEDO
Jing Chen 0005,RIPON COLLEGE
Scott Mishler,MONROE COLLEGE
Dana Gutman,PLATT COLLEGE-AURORA
Noa Markfeld,TEXAS A & M UNIVERSITY-COMMERCE
Samuel Adeolu Olatunji,LINCOLN UNIVERSITY
Tal Oron-Gilad,THE UNIVERSITY OF TEXAS AT EL PASO
Vardit Sarne-Fleischmann,ILISAGVIK COLLEGE
Yael Edan,BETHANY GLOBAL UNIVERSITY
Ki-Chul Kwon,TEXAS TECH UNIVERSITY
Md. Shahinur Alam,WEBBER INTERNATIONAL UNIVERSITY
Nam Kim,SAINT MARY'S COLLEGE
Li Li,STARR KING SCHOOL FOR THE MINISTRY
Mengdan Zheng,SAE INSTITUTE OF TECHNOLOGY-CHICAGO
Rui Zhang 0046,HANOVER COLLEGE
Zhenhua Huang,GODS BIBLE SCHOOL AND COLLEGE
Zhenyu Wang 0001,TRINITY WASHINGTON UNIVERSITY
Ann-Kathrin Wortmeier,SAINT PAUL SCHOOL OF THEOLOGY
Astrid Weiss,THE UNIVERSITY OF ALABAMA
Bettina Kubicek,YESHIVA OF OCEAN
Dana Hughes 0001,AVERETT UNIVERSITY-NON-TRADITIONAL PROGRAMS
Fan Jia,VALDOSTA STATE UNIVERSITY
Huao Li,MARS HILL UNIVERSITY
Katia P. Sycara,WESTCLIFF UNIVERSITY
Michael Lewis 0001,CALIFORNIA STATE UNIVERSITY-SAN MARCOS
Siddharth Agrawal,SENTARA COLLEGE OF HEALTH SCIENCES
Suhas Raja,UNIVERSITY OF PUERTO RICO-AGUADILLA
Tianwei Ni,UNIVERSITY OF PHOENIX-PENNSYLVANIA
Yikang Gui,YESHIVAS BE'ER YITZCHOK
Asuka Takai,GRINNELL COLLEGE
Jun Morimoto,KANSAS WESLEYAN UNIVERSITY
Jun-ichiro Furukawa,AOMA GRADUATE SCHOOL OF INTEGRATIVE MEDICINE
Shinya Chiyohara,STRAYER UNIVERSITY-TENNESSEE
Tatsuya Teramae,YESHIVA GEDOLAH OF WOODLAKE VILLAGE
Emanuele Menegatti,OHR HAMEIR THEOLOGICAL SEMINARY
Francesca Stival,KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES
Francesco Setti,ANTIOCH COLLEGE AG
Gloria Menegaz,COLLEGE OF SAINT MARY
Lorenza Brusini,CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT
Silvia Francesca Storti,DEVRY UNIVERSITY-MISSOURI
Christopher Crick,UNIVERSITY OF NORTH GEORGIA
Hisham Abuella,UNIVERSITY OF MISSOURI-COLUMBIA
John F. O'Hara,FORT LEWIS COLLEGE
Li Yu,DENVER SEMINARY
Md Zobaer Islam,AANIIIH NAKODA COLLEGE
Sabit Ekin,UNION PRESBYTERIAN SEMINARY
Hongying Meng,GRANITE STATE COLLEGE
Min Peng,KING'S COLLEGE
Mohammad Rafiq Swash,INDIANA UNIVERSITY OF PENNSYLVANIA-MAIN CAMPUS
Rui Qin,SAINT FRANCIS UNIVERSITY
Tong Chen 0008,THE COLLEGE OF SAINT ROSE
Yi Liu 0061,GOLDEY-BEACOM COLLEGE
Hanako Fukamachi,AVE MARIA UNIVERSITY
Hiroyoshi Togo,LIMESTONE UNIVERSITY
Kenryu Aoyagi,"BEXLEY HALL SEABURY WESTERN THEOLOGICAL SEMINARY FEDERATION, INC."
Koichiro Oka,DEVRY UNIVERSITY-TENNESSEE
Shiro Kumano,MOREHEAD STATE UNIVERSITY
Takayuki Ogasawara,HERZING UNIVERSITY-KENOSHA
Alessandra Sciutti,UNIVERSITY OF PORTLAND
Francesco Rea,ILLINOIS STATE UNIVERSITY
Marco Matarese,DALTON STATE COLLEGE
Silvia Rossi 0002,OLIVET NAZARENE UNIVERSITY
Kazuya Kawamura,TALMUDICAL SEMINARY OHOLEI TORAH
Masakatsu G. Fujie,THE UNIVERSITY OF TENNESSEE-KNOXVILLE
Ryutaro Ohta,WASHINGTON AND LEE UNIVERSITY
Satoshi Miura,CEDARVILLE UNIVERSITY
Yang Cao 0006,DEVRY UNIVERSITY-OHIO
Yo Kobayashi,METROPOLITAN STATE UNIVERSITY
Jesse B. Hoagg,COLLEGE OF STATEN ISLAND CUNY
Seyyed Alireza Seyyed Mousavi,UNIVERSITY OF WISCONSIN-SUPERIOR
T. Michael Seigler,HERITAGE BIBLE COLLEGE
Xingye Zhang,NORTHWESTERN UNIVERSITY
Callum Parker,PACE UNIVERSITY
Martin Tomitsch,OREGON STATE UNIVERSITY
Tram Thi Minh Tran,SOUTH CAROLINA STATE UNIVERSITY
Maryam Zahabi,SAINT LEO UNIVERSITY
Shahin Shahrampour,EMMANUEL COLLEGE
Yinsong Wang,ST JOHN'S SEMINARY
Changjiang He,DIVINE MERCY UNIVERSITY
Luis A. Torres-Salomao,LAKELAND UNIVERSITY
Mahdi Mahfouf,SAN FRANCISCO STATE UNIVERSITY
Nadine B. Sarter,QUEENS UNIVERSITY OF CHARLOTTE
R. Brent Gillespie,PACIFICA GRADUATE INSTITUTE
Steven Cutlip,HOLY CROSS COLLEGE
Yuzhi Wan,PACE UNIVERSITY
Avelino J. Gonzalez,TEXAS HEALTH AND SCIENCE UNIVERSITY
Josiah Wong,TRANSYLVANIA UNIVERSITY
Christopher W. Myers,PENNSYLVANIA STATE UNIVERSITY-PENN STATE NEW KENSINGTON
David A. Grimm,PHILLIPS THEOLOGICAL SEMINARY
Jaime C. Gorman,NEW ENGLAND COLLEGE
Nancy J. Cooke,BARD COLLEGE AT SIMON'S ROCK
Adam Mazikowski,MONTANA TECHNOLOGICAL UNIVERSITY
Jacek Lebiedz,LOS ANGELES ACADEMY OF FIGURATIVE ART
Béatrice Pesquet-Popescu,HUMBOLDT STATE UNIVERSITY
Hong Jie Wee,HOUSTON BAPTIST UNIVERSITY
Jean-Philippe Pinheiro,CENTRAL STATE UNIVERSITY
Sun Woh Lye,ROLLINS COLLEGE
Aakash Bajpai,YESHIVATH ZICHRON MOSHE
Aaron J. Young,CHICAGO STATE UNIVERSITY
Anirban Mazumdar,SHASTA BIBLE COLLEGE AND GRADUATE SCHOOL
Karen M. Feigh,DONGGUK UNIVERSITY LOS ANGELES
Karen Rafferty,SIERRA NEVADA UNIVERSITY
Thomas G. Simpson,PENNSYLVANIA STATE UNIVERSITY-PENN STATE HARRISBURG
Bo Yang,GEORGIA SOUTHWESTERN STATE UNIVERSITY
Changyu Yin,FLORIDA MEMORIAL UNIVERSITY
Dongyue Guo,MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN-ART INSTITUTE DALLAS
Jianwei Zhang,BRYN ATHYN COLLEGE OF THE NEW CHURCH
Pan Zhang,LETOURNEAU UNIVERSITY
Yi Lin 0006,WILLIAM CAREY UNIVERSITY
Yuankai Wu,ARIZONA COLLEGE OF NURSING-TUCSON
Jordan Navarro,LIVINGSTONE COLLEGE
Julien Cegarra,UNIVERSITY OF HOUSTON
Nicolas Cabrignac,UNIVERSITY OF HOUSTON-CLEAR LAKE
Sarah Allali,CHOWAN UNIVERSITY
Hojin Lee,FRONTIER NURSING UNIVERSITY
Hyoungkyun Kim,WILLIAM CAREY UNIVERSITY
Seungmoon Choi,CHAMBERLAIN UNIVERSITY-INDIANA
A. Prasad Vinod 0001,COLLEGE FOR CREATIVE STUDIES
Kavitha P. Thomas,FAITH THEOLOGICAL SEMINARY AND CHRISTIAN COLLEGE
Hanwen Wang,INTERNATIONAL TECHNOLOGICAL UNIVERSITY
Lu Lu,UNIVERSITY OF PHOENIX-NORTH CAROLINA
Saiesh Prabhu,RUTGERS UNIVERSITY-NEW BRUNSWICK
Xu Xu,THOMAS COLLEGE
Ziyang Xie,SUNY COLLEGE AT OSWEGO
Ming-Lun Lu,RUTGERS UNIVERSITY-NEW BRUNSWICK
Robert G. Radwin,BETHANY LUTHERAN COLLEGE
Xuan Wang,WILLIAM JESSUP UNIVERSITY
Yu Hen Hu,DAVIS & ELKINS COLLEGE
Fang Deng,ALHAMBRA MEDICAL UNIVERSITY
Haibo He,ESCUELA DE ARTES PLASTICAS Y DISENO DE PUERTO RICO
Jiachen Zhao,LINCOLN UNIVERSITY
Jie Chen 0003,UNIVERSITY OF NORTHERN IOWA
Akira Kanazawa,UNIVERSITY OF CALIFORNIA-MERCED
Jun Kinugawa,CALIFORNIA STATE UNIVERSITY-SAN BERNARDINO
Kazuhiro Kosuge,UNIVERSITY OF WISCONSIN-MILWAUKEE
Cristina P. Santos 0001,GOLDEY-BEACOM COLLEGE
Nuno Ferrete Ribeiro,MOUNT CARMEL COLLEGE OF NURSING
Garrett Ung,WAYNESBURG UNIVERSITY
Hasan Ayaz,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
Jeremy D. Brown,UNIVERSITY OF CONNECTICUT-HARTFORD CAMPUS
Neha Thomas,MID-AMERICA CHRISTIAN UNIVERSITY
Craig Kevin Allison,CARLETON COLLEGE
James M. Fleming,LAFAYETTE COLLEGE
Neville A. Stanton,SAINT LOUIS UNIVERSITY
Roberto Lot,SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY
Xingda Yan,ALBERT EINSTEIN COLLEGE OF MEDICINE
Brady L. Miller,NORTHCENTRAL UNIVERSITY
Brian V. Le,GUIDANCE COLLEGE
David P. Azari,UNIVERSITY OF LOUISVILLE
Guanhua Chen,UNIVERSITY OF GUAM
Jacob A. Greenberg,OLD DOMINION UNIVERSITY
Kristin L. Long,WESTMINSTER THEOLOGICAL SEMINARY IN CALIFORNIA
Reginald C. Bruskewitz,UNIVERSITY OF SOUTH CAROLINA AIKEN
Bin Guo 0001,TEXAS COLLEGE
Liming Chen 0001,GANNON UNIVERSITY
Xinye Lou,LE MOYNE-OWEN COLLEGE
Zhiwen Yu 0001,NATIONAL AMERICAN UNIVERSITY-HAROLD D. BUCKINGHAM GRADUATE SCHOOL
Zhu Wang 0001,MAYVILLE STATE UNIVERSITY
Bernhard Schölkopf,NORTHWEST UNIVERSITY-COLLEGE OF ADULT AND PROFESSIONAL STUDIES
Jan Peters 0001,BARCLAY COLLEGE
Moritz Grosse-Wentrup,MEMPHIS COLLEGE OF ART
Samuel Bustamante,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA
Vinay Jayaram,WESTERN UNIVERSITY OF HEALTH SCIENCES
Feng Lu 0005,SACRED HEART SEMINARY AND SCHOOL OF THEOLOGY
Haofei Wang,NEUMONT COLLEGE OF COMPUTER SCIENCE
Huangyue Yu,MIDWESTERN UNIVERSITY-DOWNERS GROVE
Zhimin Wang,URSHAN COLLEGE
Edgar Rojas-Muñoz,UNIVERSITY OF SOUTHERN MISSISSIPPI
Juan P. Wachs,BASTYR UNIVERSITY
Si-Zhao Joe Qin,DUQUESNE UNIVERSITY
Yingxiang Liu,AUGUSTANA UNIVERSITY
Yining Dong,NATIONAL AMERICAN UNIVERSITY-MESQUITE
Eduardo Agosin,POMONA COLLEGE
Francisco Ibáñez,CHARLOTTE CHRISTIAN COLLEGE AND THEOLOGICAL SEMINARY
Jose Ricardo Pérez-Correa,AMERICAN INTERNATIONAL COLLEGE
Lisbel Bárzaga,ERIKSON INSTITUTE
Manuel A. Duarte-Mermoud,KENTUCKY CHRISTIAN UNIVERSITY
Mario Fernández-Fernández,DRAGON RISES COLLEGE OF ORIENTAL MEDICINE
Pedro A. Saa,WASHINGTON AND LEE UNIVERSITY
Alexander L. Bowler,MICHIGAN STATE UNIVERSITY
Michael P. Pound,WEST VIRGINIA STATE UNIVERSITY
Nicholas James Watson,UNIVERSITY OF PUERTO RICO-HUMACAO
Christopher L. E. Swartz,LEBANON VALLEY COLLEGE
Hao Li 0026,SOUTHWESTERN COLLEGE
Lloyd MacKinnon,UNIVERSITY OF TOLEDO
Jaouad Eddouibi,CLEVELAND INSTITUTE OF MUSIC
Souad Abderafi,ALLEGHENY WESLEYAN COLLEGE
Sébastien Vaudreuil,SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY
Tijani Bounahmidi,MICHIGAN STATE UNIVERSITY-COLLEGE OF LAW
Jaehan Bae,UNIVERSITY OF ARKANSAS-FORT SMITH
Jong Min Lee 0002,VIRGINIA STATE UNIVERSITY
Yeonsoo Kim,GEORGE WASHINGTON UNIVERSITY
Johannes Jäschke,MERCY COLLEGE OF OHIO
José Matias,NEW YORK COLLEGE OF TRADITIONAL CHINESE MEDICINE
Juraj Labovský,AMERICAN MUSICAL AND DRAMATIC ACADEMY
Ludovít Jelemenský,OHIO NORTHERN UNIVERSITY
Matej Danko,SCHOOL OF VISUAL ARTS
Hans J. Pasman,DEVRY UNIVERSITY-FLORIDA
James P. Bailey,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY
Mahmoud M. El-Halwagi,CLEVELAND INSTITUTE OF ART
Qingsheng Wang,SOUTHWESTERN BAPTIST THEOLOGICAL SEMINARY
Sunhwa Park,UNITED STATES UNIVERSITY
Aruna Coimbatore Meenakshi Sundaram,COLLEGE OF SAINT MARY
Iftekhar A. Karimi,SAINT LEO UNIVERSITY
Catherine Azzaro-Pantel,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH
Eduardo Carrera,LAWRENCE UNIVERSITY
Alessandro Erto,LONGY SCHOOL OF MUSIC OF BARD COLLEGE
Asma Nakhli,SACRED HEART SEMINARY AND SCHOOL OF THEOLOGY
Barbara Ernst,LINCOLN UNIVERSITY
Felycia Edi Soetaredjo,TRUETT MCCONNELL UNIVERSITY
Khadra-Hanane Toumi,AMERICAN CONSERVATORY THEATER
Manel Bergaoui,WOFFORD COLLEGE
Marco Balsamo,SAN FRANCISCO STATE UNIVERSITY
Mohamed Khalfaoui,UNIVERSITY OF NORTHERN IOWA
Suryadi Ismadji,CONCORDIA UNIVERSITY-PORTLAND
Yacine Benguerba,OKLAHOMA PANHANDLE STATE UNIVERSITY
Duncan M. Fraser,LINFIELD UNIVERSITY-MCMINNVILLE CAMPUS
Sharifah Rafidah Wan Alwi,UNIVERSITY OF NEBRASKA MEDICAL CENTER
Wasiu A. Oladosu,BENEDICTINE UNIVERSITY
Zainuddin A. Manan,BOSTON GRADUATE SCHOOL OF PSYCHOANALYSIS INC
Ahmet Palazoglu,UNIVERSITY OF PHOENIX-TEXAS
