description,decision,paper,reviewer
oqRzZqiJqWOBozhgmWyTAyUWtEuUSwGUMcoFBWRwWhyOeLppSFyUqGfNlUDUlnvjmBunvargInuXbeSCSqmuCNHARdryVDsjgJrm,Accepted,Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,Alexandre Tessier
PkNScOMQHksCHVFjzHxVluBwtxxxfAyrnGGhzXbEQqCqOPRIeVtMYCYirAamiCcMFEjjhSzYEznHrjOSTTauVxPBfpzVUnobuDPK,Accepted,Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,Guo-Qiang Zhang 0001
eKiwoudiiYuDZbEyeEfpFextYTmmxNGOFqadlbkNUWbPAeiNsjgSmqGzMQKprWpygXbRexYYCXhcgkaoxugfdlZbHosWDMTrGqAd,Not Accepted,Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,Carlos Canal
UKsUMhiwegUqlqiFnTuZVgRTtJEXEGBKXYcUpOFRqqVhHdShOLULRMdlEogeFhDJMarQpdoMtdRBpuMrASNUyUXATtJDsXkNFzNU,Not Accepted,Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,Ruomu Tan
gExxGTbihGHbDMkHedMkqOyebEDQxUtZAnyMmvBUDpzeaMstQUHuSDwsKGmYWwoUTgzOiLQXNJcvZBwvLsTkyGooCqEfxNigCVhw,Not Accepted,Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,Andreas Griesmayer
mfYdOhPRHzuQhOGoKzvBbjjTONlgbfPeURVsUvTdsByRpSywpUPvZYmUBBqdHontohIcwlvGsySKQkzNKBlQJnXdbYVOlNiolJlK,Accepted,Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,Steven Eker
xXWwskMtNmCtNHXsfyhYjoEHlgTAUELytfDyCjBqtpfEwtxZgbycIKvbneyKqdsTGQWCKVFiZSluLkcRBKBpMNndSwAoKDVItNsl,Accepted,Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,Said Naser Said Kamil
UyOFEtMmLKXZJJKdVDlkyGSSfKlJlRNdPIBMmBPPoafuiEzpazXzCBecqJVKVKhCKiAUsYrownfwZabEEotzrqiXFMOUeblJNOhV,Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Alexander A. Letichevsky
pLTJNssaMTJtIxgXIPDGfvXFSkBOrVkbkpdvBOlxwsXXdxPeTOeLnobkYZLHvrnHJHeKlKgDljfHRyJihrrfldVlhmZVhAJsAYco,Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Jianbo Shi
HoOBMvIlNfLgUelYSgYditGeErcGhlbQLBYgUDHrLqpZeMlIoWqkifBapqQEJnUUTGhhxDwPmvYVknVQYyhcgCzYBEvtvdVCKWnZ,Not Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Kavitha P. Thomas
dbpToDQADkYibDZJBzzVXaUmjiFyytJQRkhflyhcCtilHNBfWttKfJUaFNTRCbOVODvdkWzTWGuisgSYIfGDDNylFxWWgMtaaCKs,Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Nicolas Klein
lcyPwQFvLgjptYiTLgcIXGjgYsGCrOwhGfZhvAbHLRqNUAMIUaKZHGjsoDrtyWPwlKCFsWWyCmyiGByOLuJznQyxYBiZjiCVmDcy,Not Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Alejandro Garcia del Valle
SgoFGsNERspMlqmfIfcXHItTtcpKyVNZzwnexiaKeOcshxqUlfIXCzuqdmHtStBGPlmBxpkhycFGzDqYwDLdxjNKsPNMFOaHcKOc,Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Jason Weston
GsLNpYeVtKvHtHbiMPkcBwQgxKQeydZWEeJpjViDpuqbOiTyzFZZfWPewFLnMaCAGFCAZdgoyztvkwSNLrTYRMYhbIOglwOuFszi,Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Rensheng Wang
ijJYRRJKEdEonnevIzDswzJEvcTkWKxnWlxWNSJTntkCjadRrTvMhyOyVwxhmetignurnCjRjLJMEXQsqvmIOuUQgboEjutaVFJc,Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Luís M. B. Lopes
uuUqQhumBjfiMYeiqZssLtkUfcIrkbUegGvglAxYuFwmhaQhVaYTKXwvAkqcZgIMdnbgGEvXbKVYoZKWxlWimoxfYjGbuEZPfatZ,Not Accepted,Machine Ethics: Do Androids Dream of Being Good People?,Nikolay Diakov
LPeeCgztPbmkhOHLCFGhKXDQjapqmdtKdBqPvzrWYqIVKYLBLnXrlfufaSaBuVDHizDveTlFDEiSYebQOLcGgLDWJqWhwOMyMooo,Not Accepted,Designing for Care.,María Guinaldo
JQhzbARgkxWypsAmHSeKnVWZeVpCgBauEhtRBhLFZMWLsXchMPefFBVTUuOeENnaZVjlRqWMLPFEMlWZGsSrRSnwhggdAKNsLRqa,Not Accepted,Designing for Care.,Romain Picot
hxeaMCmqSfORqooHKyPKNlrcexMmeSvzxbleBQIGkvIiaUvuZWnxDTWZbMqTiMavshTvYGVCYrfNPbTeYkInRArybPMwrqTzMRZw,Accepted,Designing for Care.,Vasiliki Liagkou
wEGTUehvwtpZOBlVJbVnAobmCYxOLaLNEAtGMHkBEOiqUbXwIWZUIyDapruDZCRBFoOjojlyuRgXamtfDkXbNqHqSbyNCjqhvLjz,Accepted,Designing for Care.,Roman Garnett
fBWvlszjWCTlQpDCsniXaJkJgxOQhxeyxcSAnTnJMxAZxMaxWVNItmltHSwyiWgvcHqvJjyUMWROVaYmPZhHlvquogcUAYTqxjrI,Accepted,Designing for Care.,Mirco Tribastone
iKqzztRNLVIgrgWBWVlUtHDdlMaptSdRJGNhffqqwkpPwaiswdJUPWlBclIZDIuFVCChldmhhKbWnIEDUcyVbIfqPKtAMNbKBqmk,Not Accepted,Designing for Care.,Sunday Adedigba
FHmMjMFMnIGSWRrYDzrAsJAPpczjSbAgUEfdxnAnDXVKgXVvZgGDaMUmGeXjncubUjdtPXoBHDhczgqiBHxtgGKnMBnpadwXIvTw,Accepted,Designing for Care.,Lert Ruprakobkit
RGyItFqnUDnreqlrZdjyeyVYnOFvSGfmIAeODaPFGzfCZxJLOzSiUVDBjeBwBTpbqqfmeARnrLpolpGJAOnkZGFVSFVenwlCtgyg,Accepted,Designing for Care.,Daniel M. Roy 0001
FSThZlzNBOzghYOHqUXsSbihJJjaDkSSfeIiGyfCpoHlSgoAkqphjbiwBPmdBQhlUeVAWUEfpJGiTPfsgUuUsLFhEAsDJnrkhcnn,Accepted,Designing for Care.,Xia Ning
pvsfkSzawffRrbyqeMbeEieVyogVUzqUCBKwUwNLrpcsmEqSpjzhKxnEvJrYhPfxmJhqWkyFVYvPHMYtemMvPwGwANXHNiuQtjWN,Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Alex Buckley
qJcrAEpgUXghrDRmBHDmMsMjrMyZnzsJeANBBnBylVyQDrjMtZBvlPLkxSRLkzCiTIwUTSZXQYAyUWLGrsLcxDYzgODLyXsWoFQb,Not Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Jean-Pierre Reveillès
UXstwfDXtINsQNFLaCauTDjbLNhDjNUoGYAtlwojfpCWRsFIkLRuIVpufupJQAACfPxeOxmmcayhZhhKqlRwPefiQZRgbhyFWCms,Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Lars Gesellensetter
trlyzKEyPwpYUHFfVrttKKRBRJEgdjDOnIGrFKSTaiuGOXYGgBgsevApQESeccWUguVheMpmyiucqcVaqFBWiDiDgYOCUSLRdKiB,Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Héctor Cancela 0001
mZgsYPAvyGMwFezupYrTsGLBOfYsRjHICPfWzrQlYHfmsbUgRotHcpRkjrjhGKhMULUMaunrGXsaoPnegPYpuqcUkhsiodMiqhce,Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Sundararajan Sellamanickam
wlTTYodsrTDukYpxGgbVLJUYQuveaLBROLKFJfsdfPJMasnhSoaLYDQIMffcAyotQyPtMRJUXZXpfhCKDykXphkBFzsBRRzCCenR,Not Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Jirí Adámek
KMpulmpdlVhLEposrtFdGYgIYOTwBlfBMWNcLzqQmXSEkFRMiKXWCtAZkxDqdCBYIMAzBAXJZvrSdjewsaNZcHfNNnfgqjPdLdic,Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Jean Goubault-Larrecq
FpjnsfCUonKUwrjVjlXNzAvqGHNXKWdGzFbJrrGtiARKTqzPLwSpuueLVrMGHBDLgCzazJyTjLsBpUifgxobrjWBLyWkaQojJAZv,Not Accepted,"""Technical"" Contributors and Authorship Distribution in Health Science.",Matthew Hennessy
DahedzTIKbHvcbrmTGvpSqOsShofQGpBWeppPYEUQnpfnwmdUbuLAUCWgHuhHoyNcteHenMjTwKrkNgTaAejJxjYAtavFTvcqyBo,Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Marcello M. Bonsangue
OBGNccbTttrhWazsFIZibVJxRlZczeTyHixlIWfHxXsdrWpaUTNVlWzANDSrevCnLqvEabQcztEzTxSQehIEQWCHDmzJYZXmsJqy,Not Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Doruk Cetemen
uSnDkSwEXkEHFuqLBKUHJmVUJIgkJdtXICxbzZBxYGSSJlFoCNyMHMTFRTReWfsCrYlJieWqoPRVoESDthELFoOhaQSXOOJrjlik,Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Roberto Bruni
LvAcsNtsMJVFUNREFCoDqNDykMiGAhhTjRrlTQigEzUbzdwdBpedQkvYcsSQJvJruESiSDCYBMHsEGXhgFSJYImeiGLlFCVfqlyU,Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Mario Bravetti
BXoJyaOogOfyqLyRCCRRBwMCpDRjWRFqyvNbsZcFGoUlzTRnQdyNvUpuWGUqrdhYWoRRoRlrVpSRcKXzcyadsBMCzBJLYarZFpeY,Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Shou-De Lin
VYcMwzuFXWZdopuDwEgSpqZJDOlDynTQcQwgJZSTmmFGUTYNmnmFdjFWNjSUrmtvfSxvkDQpXlKzVpdLcWvXBNUzDNGoOelGWHoQ,Not Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Bastiaan Heeren
CCBrQvZMXxWUSsMBNaofLnVLFoWweaVwwHRZfOKpYynlrVhRRDVGxOrdkXNZZEcEGAtrEWEFfccEgXNccJeSTiDEUDjrIDSistaO,Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Giovanni Frigo
mbOMlieFrlSMSqmJGgiKlpYiNkrBJfkSQBbVDTVnQMnUvvuuuiLrpBlHiyvtgvNcaQwXwHupgZhOKOwXcMrWYoBQauKcmUXapjrL,Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Jonas Santos Bezerra
nJuqfXQFQRAsJSeaKnUtveflOpcLeFkHynqGQskQcRrvZpFkBNfVPVUNWUSDkfiraIndqapNJhoGvtmLKxoRZnDPjqnQStKolQLB,Not Accepted,The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,Takeo Hori
vhtzIfGtMykeOyUAWLbuSkafZhbCzvNYuxJJJeTeoiOjUBDuaCucqWDyqlOmAaOQGaubXvIFOAvnKAczDUPBFzzYrnctInDtGNBV,Not Accepted,A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Yajing Zhao
NhKwHRPkkNmIxedUPmoHIEyIJlaRquMxhJiQcmOOVBsXJZLfWwPMGYhKokzWNwkInDTGEoJsqFEdFQFZytnQKpeyKBZpRbVPECxx,Accepted,A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Yu-Cheng Chou
RICTkQLjgAEkUsCMblPdegCiVIkfZpFSaFckdeUTVcVNupMAjyttrIVnWHwaziqPXsHUTxDWvBkzkBHzLQpgRXtqxlNWNDZDSSYS,Accepted,A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Toby C. Murray
BpKnzGTGhusdyJqabofhXlMRMcHAWhHFOANSKZfErXwOpkwntTnfiSNUKOsKTxHhCeQRLJuocLzqcIwYUKSyjklIuADFCMomZQNs,Accepted,A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Flavio Comim
FBfGsqRtLLKUHQhbmwpJhYTjpYTrvtqRxdnXyCUPnmkdIFvTFUvPRdiLbLrbzMzkaLnidedljocimgqybeSIDrCKFjZAQDJxFfBw,Not Accepted,A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Lukasz Wozny
XDxFMwltVsGMYIMBQcdbKOItazDRxErfHfTQoLepGbehMpYvYiyGYKKhGIfNuKuSWZvmoaNhOOZeSvobsQKmZudpTTlrLTnfQRcG,Not Accepted,A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Joachim Klein 0001
smbynZusnfKeapqRuQcCAbKfSwDQsNhblaFWiCcfmgjFQkBoiahZxeufKCpVHqvtZbGUWzKzSPKQRRwWNsJUYXQbkFXRPvldZojX,Accepted,A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,Brandon Tolbert
PwZMEnpShDCQTyYAxRYEzQAHLvMlzYhXjJGdeLUAjFfXSPWZccnVyuLvgYZVRtRpIawowMynIOxWqnikAqIJKnqFPblrnkMlWDiw,Accepted,How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Styliani Avraamidou
wojGhAUesoSXyCgMdPoXjPtyZOrDhYhGUExXtYIJxGVFRrUqDjYILxaHshYcoVGJDRqzfAQVAqgycwbvighuXuszCTOsSoKIrbam,Accepted,How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Lei Jimmy Ba
cSDMOQLiICPEnMmRPpWnmosPrrNiexJzMIOaSKPQkBuOTccfXgkKdAmOULRepmwpyeDpCHDJOhMRBmQmtOSYREwAqJbMMWlVyQuR,Accepted,How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Lin Guo
RSqGboANleKuhdztIXNFneFomLfWZlFCCCbjWXldPjRPmpscKJIjIZaDsyBBHZLicGFnUrfyXyEjsZQfjhqbuAuSDhCNoNUUsYDY,Not Accepted,How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,Morgan T. Kelley
JccuRetlKQHvRLbvBQlantzNhxkKiEndEigqugjeXXDYouhGRWvksYjecCvfqcThGtdxQAseaxZriDuZoLUIvTdBeMsxhGTqoyKC,Not Accepted,Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,Nina Frahm
HAvfwFSbqjQCcUFaWAHoOHzWBkatEwTHmoydiFZBDulRwBDvwWWrRXeMywdlRexGMWAEJlHOtHyoDyDyiTNccOMRcNlMfIdwrMYN,Not Accepted,Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,Roberto Ruiz
ESNihueoalxBexaitqJjqyhGyomaEOgOeNWADmyieMRAKTNQInukGmLBolGUDMSFTHdKSEZcpnbuJQHyNPbJYvZWIxcfMeSnllcm,Accepted,Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,Ming Yuan
mZihxSWPWOunNXQrXvXAdSDPBerRCClAPmgaLYYoHQEboQYajVLnEFEIsemYKIbCPRHOhbwydGrLoiCelwAuKhYgVCwktqogUZVz,Not Accepted,Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,Dmytro Mykhailov
YEPZUHiIigrQSfcCtmPFeMSvlKvlfwSzVqevypIEUBycSCmffuNFrVjlIKGaWZEcBqyMkqnljPCQXhNyzTvUNJDgCwgIYPcUoOxf,Not Accepted,Co-creating Research Integrity Education Guidelines for Research Institutions.,José Antonio Caballero
JDQlkMMbNgpzRmcbTilGYBZIwYlbQlYDrAMAqvawCrweCjgzgnqzijDswkzQfBdcgHvslAdjcmdpTEdInNRMlmBTwYhjjIKxwJXR,Not Accepted,Co-creating Research Integrity Education Guidelines for Research Institutions.,Gersende Fort
iGuuhAPIJGrNmktaPHrZhErCHIoIOUUWIUnTnBGaIKMrZwePJGEPRJSonCAeuZDTrYsFGYhgxlepEwVjKirfXgYxUmyZQsnLSDye,Accepted,Co-creating Research Integrity Education Guidelines for Research Institutions.,Davide Rogai
idSJtqiqPdXwWRDeeolcKONoAJovbTbgvixBHQIiowFhXeFNWVpTOihomJXoRfuViiIDKfvZYHKgknNrJtKkAkJugamdRsuwrMEh,Accepted,Co-creating Research Integrity Education Guidelines for Research Institutions.,Ahmed Bouajjani
hVRmbGXpOkjZYuILAsSJdSglxOPMYOYxYgKlPYhsEvRcknxqrvVKrUOnGXKyfyjuMjHLOEaxExzSvOwFSvVtBPYNQwDOghuPLbUz,Accepted,Co-creating Research Integrity Education Guidelines for Research Institutions.,Vivekanand Gopalkrishnan
bnhWqQcldQewliesmvTRmQVtRVXOSXAVxUeABArgdtcrDHNuGYJOSutlGnPzXhZAZqqvQAtyBamtsFleicrOVtdlSAaxJUdzYJjz,Accepted,AI as an Epistemic Technology.,Aminu Zakari Yusuf
knceZqEBfpERfiUURVgnPOBnFsdxUiifaQOUwBtGheKjlDOpdbNidFBuFvPlzvRHytZxhvaBJMjbxZrffvQwrXPlObqxfgSloRih,Not Accepted,AI as an Epistemic Technology.,Naoki Nishida 0001
yZZOgaYJqASYVlMmrlTSnYTKZxsUpdHEaIxtqGVqNPjazzIyoSOiwefWoIRTUUbtpFeKeDdkdZCTtBMGhNxrrSAiVUkEUktLXRGL,Accepted,AI as an Epistemic Technology.,Vikky Anand
RZOBlZVOfWTtibqeOjDChAFGYnsdBJKLLSkwcWlhZBCyFKoDVTnGjRqpjzEbJrIbCCrAjQYrYBDbKzgVgPBylerEulNfMVYPQyuH,Accepted,AI as an Epistemic Technology.,Cristina G. Fernandes
crCJfpbWwYPnoBnoIdQOygkMAKoNAlaTyCDgOcUMwvDgwXooNSlxIYuYQQassYXVUSscjeIMEZjPCmBJNUrtwcNwxSvRoqKBegaV,Accepted,AI as an Epistemic Technology.,Priya Krishnan Sundararajan
ZjeuokafvNStgzTUrjimYcnvVfcJIExyAXdEBUHzbanLVrwAyaGirtysQPeXqqbkLmeMizNBBLoGxVMDeiGoZkkcwbdFxfBrXKic,Accepted,AI as an Epistemic Technology.,Ryota Tomioka
JPzuvPrgRKzVojMuBEtRkBBKyTntYfvMwOsrmvHXhylkbcZyCPHgdTbrHJaEuPvfSxLNVxyWkeBlLUnvEAnYLSigrdsCczjmKQYu,Not Accepted,Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,Clément Jacq
RiULBUltcRYFBkxAqqTYCRWZhTtHahkZwcavkfZSmNwYsjvwyxJjDtxkOgPCCbcEuiaMbXyWxWErgafEAdkprGWqffupqgEaSKZk,Accepted,Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,Gongzheng Lu
uSUkXfhWmHEeUKHQYQOTkLokjESwloXhXtUQFqZoilaUgIRpTIslCqZmFFFixZckKLLEQNaSemcFhPKjdLGZZcAaWsXHiOmwBVeb,Not Accepted,Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,Michael Newton
UnpbHmWjbDvcRqgXQnSZwmCIjSqDDYIbpLrZPJaJadCMYMysuLvRlRtKiKUaiAHILMaYLNOqLWAuFIvlNMAfnyTAOwlfkbvPizJa,Not Accepted,Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,Ryan Tonkens
qJdHrDNtVUlPYSOJZAFWhJfBkFwMCSwJsHQmegDdiGYmINLNhpwXqFnVAqzORJyCLMWFSgnJUnoRwRaDtruIKKXlBMphXojAUQUc,Accepted,Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,Joshua C. Teitelbaum
fCBhtdbxqWXpEvwVXwhiGJpKiWuUfLPCXXPBqteqUMbTaqVXCSZFlihFmvOVDNAQwSeRKpcZZNPkhHQrlMjxzSfwnsbrlwrhvZrg,Accepted,"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",Dilan Görür
imfQNQwIPfYDBTcBARPGMtLFXOhciASQYsuLbMMgzadCuGMiPOLTnCbZQmUgyxDdLyFAJlLaRrzzYODaOXVpRBgZEXYhWIvzrCwG,Not Accepted,"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",Kuan-Wei Wu
ShSBGtBhetvsBXWXDAQtfjiJKGqKwwAWiDqPEFmDkpHxPuuzwwXQIqHqornvdMSKQlRPHgfKkErExpmmFXBaWrvfKMBaxUiqBwzq,Accepted,"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",Luca Bortolussi
RsLywqAufEnYJQELXOszxVKIMAJOYyaXskaREfDJkJrVSvlywTyimjnKIqfCsZdPxxMQpyjLHcrQLPXntDOVevfrnsEHWwUUUBYF,Accepted,"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",Anna-Maria Rivas McGowan
mwwzpWKVJsYylNDJPTlJfsHevUjtTdhbDHAlCMtbDeeKnAQGNobriXiPdGZoKrdwHXWWnlQFAyUtQMiiqIXslxtyMKlsHQqaRYAK,Not Accepted,"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",Tom Diethe
SUIvwjMpBxeRkbZYOXLMRJJcVKtBgYoqxAsHkSGjNDggaFFchEyzhKFOAZSKUnFLOdVXjgeqYGXeBElJqdtpFXiIGgmIpEiplRqB,Not Accepted,"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",Frank S. de Boer
bOVrXSPEjsQTncsalfANwOVmrsFgkIdWqsNgyzJXBlhWJrbhdCKBHLivtcZrKAYepvwPRIosgKmfQvROeJOYKEPqPjWcjJRsXOnv,Accepted,"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",Lucas J. Maestri
eXvQDFZtqRxoxelDTqtznnIdFPiAqTwuFAaDTfpDOAUZROTtHBOdYeQviQkGjSlhrxuLMTrQLQOydSHSkGMaqkUZjHTgMJynnHpu,Accepted,Mary Blair-Loy and Erin A. Cech: Misconceiving Merit: Paradoxes in Excellence and Devotion in Academic Science and Engineering.,Mich Tvede
QNEXExNOJfeHygoHnCOYYNLutBBOhZdzZxiRfNRCIYFbHUrrXaPnXkAWykJSpGycVCFOYAnhxDqUogUewJxnzmodFuMKzcBYRjlr,Not Accepted,Mary Blair-Loy and Erin A. Cech: Misconceiving Merit: Paradoxes in Excellence and Devotion in Academic Science and Engineering.,Kai Scholl
gahgAgrvMaCrbuwUueBOykhUBNaYlQueneqNWMdDExoSGZHflXJOIYADPeTfpNYFwNKlCTRwuItSZgFBujPakLwlIpPNJxKoWHwq,Accepted,Mary Blair-Loy and Erin A. Cech: Misconceiving Merit: Paradoxes in Excellence and Devotion in Academic Science and Engineering.,Vinay A. Juvekar
zoyrkouyxsAQOWndbihoqiTrdJnohbihnrFaBiZePkbsQrcKIHZyqfUmNzkheScnBKWFRdIcGfLlVUPgQYqhQSCMHJVILHVKvjaw,Not Accepted,Mary Blair-Loy and Erin A. Cech: Misconceiving Merit: Paradoxes in Excellence and Devotion in Academic Science and Engineering.,Sidharth Sankar Parhi
otjQCBlPDuCOxTvXRTBFzVwsfVvmXQEwAeyVaJUGmfhCDRotpDsfogzIeBFVdlvzgjkXiUybSKAihGeAntPnfttkPiqdEGLHWIGL,Not Accepted,Mary Blair-Loy and Erin A. Cech: Misconceiving Merit: Paradoxes in Excellence and Devotion in Academic Science and Engineering.,Jyotirmoy V. Deshmukh
kEGpdDDOpnfKYVBkuRdQaWPcPVczVXWKCqbOuZeknnHXCWhvjcwEkiUgsVCzawMqoetbCaKDAenbuIVsmGgYZLZRsLxkzRWXhzvL,Not Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Sweta Agrawal
COYGSWHsEqnbOLcFuOmVaEnkFmAWiTaWBRuDbpMxlBShFYgAJdYRBxicyzcVuFiliJwFGsTfmhdOXELGPjxpzaOsfQAhtyYXjpuI,Not Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Olaf Parczyk
NSZeKyRMPfuSKvPgofGHVVargpZgWpwPBJwXbqiGfLYYLrPNqGoAFDMnBtAtgQfeXnooFrLQVpuZuUggyGZnKUHmCSKAzjnfauYw,Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Sobhan Naderi Parizi
ZXPSUeVOwUPjoNyJocBiueUPqztRBBcLOORJLolrnjsSqUVfzEPNAbVUgZuMtktQtkgaHwkZOFbeLXRIesZaSCKTUPeNOGlHPcKL,Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Miguel Palomino
DSDPpFQrJdkGojUojiURaKyrsvEAYdWGqwfDpCjFVkDliMinGWaxzEFFmMBmhMaqWGDpHwxuRXKyuBPyUwdItIxAQYEzOQbTElmR,Not Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Álvaro Tasistro
JEuUYgghqZdEoifwDEtIfajLhjZbGFjxdsNkzgjUnfJVdEPqMJmluevZLylxgaRTFOKzLngwzijXnmYJqFDjntQTdynXlMCOrCdk,Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Sebastian M. Pfotenhauer
jHQQxmGIdaTtRfekAXwuthMBetTxkJvMQfIWUyZpNYoorKjUOJAaJvgkYVnGDpPxflqpxmXznpxoLxGvcFAZAniIxfvSUzOvMTMM,Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Mohammad Rafiq Swash
PPKDziLmWusjuLhDHmsCjCLouUdvBCXYXvZOquSvPqXyASihcLaqbSJAObiJCwbiOGmmvoTKHWLZoxKtzPXjGPegUfTqGPUlbmiD,Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Jaehan Bae
RMxghVExUXUOURFquxHxsuEDPNKRRHLoAAJQrihZNKXjOmYOwoaqTKBrGmYjrVXBPqLlubRToZbuSXlENWgHrjbiHcUlPiBfejSe,Not Accepted,Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,Cho-Jui Hsieh
HSKwDZAsTqrewAsNlrJLbgbCpcSaKUqPLAyjaHtPaUjCzPDUVaSLsVcJXgIhRCKhSoULrJkvrDgbYwJjrtMgyTtraRPPhibmQsbg,Not Accepted,Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.,Josh Wills
