paper,main_author
Bagged Structure Learning of Bayesian Network.,Gal Elidan
Efficient large margin semisupervised learning.,Junhui Wang
"On the relation between universality, characteristic kernels and RKHS embedding of measures.",Bharath K. Sriperumbudur
Finite-sample Analysis of Bellman Residual Minimization.,Alessandro Lazaric
A Boosting Algorithm for Label Covering in Multilabel Problems.,Ofer Dekel
Semi-Supervised Affinity Propagation with Instance-Level Constraints.,Brendan J. Frey
Online Inference for the Infinite Topic-Cluster Model: Storylines from Streaming Text.,Alexander J. Smola
Regret Bounds for the Adaptive Control of Linear Quadratic Systems.,Csaba Szepesvári
Feature Extraction for Machine Learning: Logic-Probabilistic Approach.,Vladimir Gorodetsky
Variational Inference for the Indian Buffet Process.,Finale Doshi
Lightweight Implementations of Probabilistic Programming Languages Via Transformational Compilation.,Andreas Stuhlmüller
Winning The Transfer Learning Track of Yahoo!'s Learning To Rank Challenge with YetiRank.,Andrey Gulin
Feature Selection using Multiple Streams.,Dean P. Foster
"Feature Selection, Association Rules Network and Theory Building.",Sanjay Chawla
"AClass: A simple, online, parallelizable algorithm for probabilistic classification.",Daniel M. Roy 0001
Data Biased Robust Counter Strategies.,Michael H. Bowling
Supervised Spectral Latent Variable Models.,Cristian Sminchisescu
"Revisiting MAP Estimation, Message Passing and Perfect Graphs.",Alexander Ihler
Causal Inference.,Judea Pearl
SIGNET: Boolean Rile Deetermination for Abscisic Acid Signaling.,Jerry Jenkins
Semi-Supervised Learning via Generalized Maximum Entropy.,Ayse Erkan
Approximate parameter inference in a stochastic reaction-diffusion model.,Andreas Ruttor
Multitask Learning for Brain-Computer Interfaces.,Moritz Grosse-Wentrup
Semi-supervised Clustering with Pairwise Constraints: A Discriminative Approach.,Zhengdong Lu
Cross-associating unlabelled timbre distributions to create expressive musical mappings.,Dan Stowell
Modeling Knowledge Worker Activity.,Dunja Mladenic
Parallelizable Sampling of Markov Random Fields.,Ilya Sutskever
Automating Quantitative Narrative Analysis of News Data.,Nello Cristianini
A Nonparametric Bayesian Approach to Modeling Overlapping Clusters.,Katherine A. Heller
Variational Learning of Inducing Variables in Sparse Gaussian Processes.,Michalis K. Titsias
TIED: An Artificially Simulated Dataset with Multiple Markov Boundaries.,Alexander R. Statnikov
Detecting Weak but Hierarchically-Structured Patterns in Networks.,A. Robert Calderbank
Distinguishing between cause and effect.,Dominik Janzing
Multiclass-Multilabel Classification with More Classes than Examples.,Ofer Dekel
Tighter Relaxations for MAP-MRF Inference: A Local Primal-Dual Gap based Separation Algorithm.,Dhruv Batra
Pairwise Measures of Causal Direction in Linear Non-Gaussian Acyclic Models.,Aapo Hyvärinen
Learning Rules from Incomplete Examples via Implicit Mention Models.,Janardhan Rao Doppa
Factorial Mixture of Gaussians and the Marginal Independence Model.,Ricardo Bezerra de Andrade e Silva
Results of the Active Learning Challenge.,Gavin C. Cawley
Efficient active learning with generalized linear models.,Jeremy Lewi
Kernel Learning by Unconstrained Optimization.,Cristian Sminchisescu
Solving Markov Random Fields with Spectral Relaxation.,Jianbo Shi
Exact and Approximate Sampling by Systematic Stochastic Search.,Daniel M. Roy 0001
Causal and Non-Causal Feature Selection for Ridge Regression.,Gavin C. Cawley
Design and Analysis of the Causation and Prediction Challenge.,Alexander R. Statnikov
Infinite Hierarchical Hidden Markov Models.,Dilan Görür
Hierarchical Beta Processes and the Indian Buffet Process.,Michael I. Jordan
Estimation Consistency of the Group Lasso and its Applications.,Han Liu
Unsupervised Variable Selection: when random rankings sound as irrelevancy.,Sébastien Guérif
Convex Perturbations for Scalable Semidefinite Programming.,Brian Kulis
Transductive Classification via Local Learning Regularization.,Bernhard Schölkopf
Tree Block Coordinate Descent for MAP in Graphical Models.,David A. Sontag
Visualizing pairwise similarity via semidefinite programming.,Amir Globerson
Residual Splash for Optimally Parallelizing Belief Propagation.,Carlos Guestrin
Relative Novelty Detection.,Alexander J. Smola
Efficient graphlet kernels for large graph comparison.,Karsten M. Borgwardt
Matching Pursuit Kernel Fisher Discriminant Analysis.,David R. Hardoon
Generalized Do-Calculus with Testable Causal Assumptions.,Jiji Zhang
Memory-Effcient Orthogonal Least Squares Kernel Density Estimation using Enhanced Empirical Cumulative Distribution Functions.,Andreas Wendemuth
Clusterability: A Theoretical Study.,Margareta Ackerman
Multi-Source Feature Selection via Geometry-Dependent Covariance Analysis.,Huan Liu 0001
"A Bayesian View of Challenges in Feature Selection: Feature Aggregation, Multiple Targets, Redundancy and Interaction.",András Falus
Visualization Databases for the Analysis of Large Complex Datasets.,Paul Kidwell
Deterministic Annealing for Multiple-Instance Learning.,Olivier Chapelle
"An Ensemble of Three Classifiers for KDD Cup 2009: Expanded Linear Model, Heterogeneous Boosting, and Selective Naive Bayes.",Chia-Hsuan Wang
A Stochastic Quasi-Newton Method for Online Convex Optimization.,Jin Yu
Learning Sparse Markov Network Structure via Ensemble-of-Trees Models.,Ben Taskar
Loopy Belief Propagation for Bipartite Maximum Weight b-Matching.,Bert Huang
Learning A* underestimates: Using inference to guide inference.,Gregory Druck
The Difficulty of Training Deep Architectures and the Effect of Unsupervised Pre-Training.,Dumitru Erhan
Exploiting tree-based variable importances to selectively identify relevant variables.,Louis Wehenkel
Random Sets Approach and its Applications.,Vladimir Nikulin
Reversible Jump MCMC for Non-Negative Matrix Factorization.,Mark A. Girolami
Unsupervised feature selection applied to SPOT5 satellite images indexing.,Henri Maître
Variable Metric Stochastic Approximation Theory.,Jochen Trumpf
Dual Temporal Difference Learning.,Dale Schuurmans
Variational Bridge Regression.,Artin Armagan
Sampling Techniques for the Nystrom Method.,Ameet Talwalkar
Fast Low-Rank Semidefinite Programming for Embedding and Clustering.,Arun C. Surendran
Space-Efficient Sampling.,Andrew McGregor 0001
Learning Multilevel Distributed Representations for High-Dimensional Sequences.,Geoffrey E. Hinton
Group Nonnegative Matrix Factorization for EEG Classification.,Hyekyoung Lee
Dissimilarity in Graph-Based Semi-Supervised Classification.,Andrew B. Goldberg
Minimum Volume Embedding.,Blake Shaw
Optimizing Costly Functions with Simple Constraints: A Limited-Memory Projected Quasi-Newton Algorithm.,Ewout van den Berg
SVM versus Least Squares SVM.,Jieping Ye
Transferring Knowledge by Prior Feature Sampling.,Aleksey Polovinkin
MDL Histogram Density Estimation.,Petri Kontkanen
PAC-Bayesian Generalization Bound for Density Estimation with Application to Co-clustering.,Naftali Tishby
Statistical and Computational Tradeoffs in Stochastic Composite Likelihood.,Guy Lebanon
Latent Force Models.,David Luengo
Continuous Neural Networks.,Nicolas Le Roux
Speed and Sparsity of Regularized Boosting.,Peter J. Ramadge
Best Agglomerative Ranked Subset for Feature Selection.,Jesús S. Aguilar-Ruiz
Choosing a Variable to Clamp.,Frederik Eaton
Generalized Darting Monte Carlo.,Cristian Sminchisescu
Fast Kernel ICA using an Approximate Newton Method.,Arthur Gretton
Inductive Transfer for Bayesian Network Structure Learning.,Alexandru Niculescu-Mizil
Feature Ranking Using Linear SVM.,Chih-Jen Lin
Bernoulli Mixture Models for Markov Blanket Filtering and Classification.,Mehreen Saeed
Loop Corrected Belief Propagation.,Bastian Wemmenhove
Analogical Reasoning with Relational Bayesian Sets.,Katherine A. Heller
Recall Systems: Effcient Learning and Use of Category Indices.,David Kempe 0001
A Hierarchical Nonparametric Bayesian Approach to Statistical Language Model Domain Adaptation.,Frank D. Wood
Estimating Tree-Structured Covariance Matrices via Mixed-Integer Programming.,Grace Wahba
Logistic Model Trees with AUC Split Criterion for the KDD Cup 2009 Small Challenge.,Arne Mauser
A Bayesian Divergence Prior for Classiffier Adaptation.,Jeff A. Bilmes
On Partitioning Rules for Bipartite Ranking.,Nicolas Vayatis
Metric Learning for Kernel Regression.,Gerald Tesauro
Tractable Search for Learning Exponential Models of Rankings.,Bhushan Mandhani
Hash Kernels.,Alexander J. Smola
Kernel Multi-task Learning using Task-specific Features.,Christopher K. I. Williams
Sleeping Experts and Bandits with Stochastic Action Availability and Adversarial Rewards.,Brent Bryan
Inverse Optimal Heuristic Control for Imitation Learning.,Anind K. Dey
Covariance Operator Based Dimensionality Reduction with Extension to Semi-Supervised Settings.,Minyoung Kim
Markov Topic Models.,Bo Thiesson
Nonlinear Dimensionality Reduction as Information Retrieval.,Jarkko Venna
Multi-Manifold Semi-Supervised Learning.,Aarti Singh
An Improved 1-norm SVM for Simultaneous Classification and Variable Selection.,Hui Zou
Learning Nearest-Neighbor Quantizers from Labeled Data by Information Loss Minimization.,Maxim Raginsky
Quality assessment of nonlinear dimensionality reduction based on K-ary neighborhoods.,John Aldo Lee
Handling Sparsity via the Horseshoe.,Carlos M. Carvalho
Tractable Bayesian Inference of Time-Series Dependence Structure.,John W. Fisher III
Deep Boltzmann Machines.,Geoffrey E. Hinton
Tree-Based Inference for Dirichlet Process Mixtures.,Katherine A. Heller
Margin based Transductive Graph Cuts using Linear Programming.,Bart De Moor
An Information Geometry Approach for Distance Metric Learning.,Rong Jin 0001
A kernel method for unsupervised structured network inference.,Christoph Lippert
Varieties and Covarieties of Languages (Extended Abstract).,Adolfo Ballester-Bolinches
Structuring Optimizing Transformations and Proving Them Sound.,Aditya Kanade
Some Applications of the Formalization of the Pumping Lemma for Context-Free Languages.,José Carlos Bacelar Almeida
Case Study: Simulation of a LAN.,Dirk Janssens
A Simplified Account of the Metatheory of Linear LF.,Joseph Vanderwaart
Extensionality of Spatial Observations in Distributed Systems.,Hugo Torres Vieira
Compositionality for Tightly Coupled Systems: A New Application of the Propositions-as-Types Interpretation.,Mark-Oliver Stehr
Adaptive Latency Insensitive Protocols and Elastic Circuits with Early Evaluation: A Comparative Analysis.,Luca Macchiarulo
Some Characterization Results for Permutation Algebras.,Fabio Gadducci
Quantifier Elimination over Algebraically Closed Fields in a Proof Assistant using a Computer Algebra System.,David Delahaye
Policy Iteration in Finite Templates Domain.,Assalé Adjé
Formal Modeling Of Middleware-based Distributed Systems.,Arnab Ray
Web Services as a New Approach to Distributing and Coordinating Semantics-Based Veri cation Toolkits.,Gian-Luigi Ferrari 0002
Only the Best Can Make It: Optimal Component Selection.,Lars Gesellensetter
The Descriptive Complexity of Decision Problems through Logics with Relational Fixed-Point and Capturing Results.,Ana Teresa C. Martins
A Coequational Approach to Specifying Behaviours.,Corina Cîrstea
Modular Checkpointing for Atomicity.,Lukasz Ziarek
Performance Models For Master/Slave Parallel Programs.,Afonso Sales
Engineering of An Assertion-based PSL,Chengjie Shen
Silver: an Extensible Attribute Grammar System.,Derek Bodin
The Category Theoretic Understanding of Universal Algebra: Lawvere Theories and Monads.,John Power
Visualizations in Preparing for Programming Exercise Sessions.,Essi Lahtinen
On the Serializability of Transactions in JavaSpaces.,Gianluigi Zavattaro
A Graph Abstract Machine Describing Event Structure Composition.,Claudia Faggian
A Software Architecture-Based Approach for Formalising Middleware Behaviour.,Nelson S. Rosa
A Resolution-based Model Building Algorithm for a Fragment of OCC1N=.,Nicolas Peltier
Initializing Mutually Referential Abstract Objects: The Value Recursion Challenge.,Don Syme
On linguistic aspects of integration of computer mathematical knowledge.,Alexander V. Lyaletski
A Logic for Application Level QoS.,Alberto Lluch-Lafuente
A Coding Rule Conformance Checker Integrated into GCC.,Guillem Marpons-Ucero
Hyperbolic Julia Sets are Poly-Time Computable.,Mark Braverman
Integrating Textual and Graphical Modelling Languages.,Luc Engelen
Pullback rewriting and applications.,Hélène Jacquet
Interpolant Learning and Reuse in SAT-Based Model Checking.,João Marques-Silva 0001
Towards a refinement theory that supports reasoning about knowledge and time for multiple agents.,Kai Engelhardt
Provably Correct Code Generation: A Case Study.,Gopal Gupta 0001
A Metrized Duality Theorem for Markov Processes.,Dexter Kozen
Automated Techniques for Surviving (Otherwise) Fatal Software Errors.,Martin C. Rinard
Describing properties of concurrent systems (Logic for Traces) (invited talk).,Igor Walukiewicz
Real Numbers and BDDs.,Norbert Th. Müller
A GRASP for the Convex Recoloring Problem in Graphs.,Ana Paula dos Santos Dantas
Compilation of Interaction Nets.,Abubakar Hassan
"Automatic, Model-Based Software Performance Improvement for Component-based Software Designs.",Anne Martens
Using Matrix Graph Grammars for the Analysis of Behavioural Specifications: Sequential and Parallel Independence.,Juan de Lara
Remote Attestation on Legacy Operating Systems With Trusted Platform Modules.,Bart Preneel
Comparing Under and Over-Approximations of LTL Properties for Model Checking.,Ernesto Pimentel 0001
