paper,co_author
Relational Learning with One Network: An Asymptotic Analysis.,Rongjing Xiang
Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.,Masashi Sugiyama
Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.,Taiji Suzuki
Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.,Takafumi Kanamori
Multi-label Classification with Error-correcting Codes.,Hsuan-Tien Lin
Future directions in learning to rank.,Tie-Yan Liu
Future directions in learning to rank.,Yi Chang 0001
Coherence Functions for Multicategory Margin-based Classification Methods.,Michael I. Jordan
Coherence Functions for Multicategory Margin-based Classification Methods.,Wu-Jun Li
Coherence Functions for Multicategory Margin-based Classification Methods.,Zhihua Zhang
Why Does Unsupervised Pre-training Help Deep Learning?,Dumitru Erhan
Why Does Unsupervised Pre-training Help Deep Learning?,Pascal Vincent
Why Does Unsupervised Pre-training Help Deep Learning?,Yoshua Bengio
Accelerating AdaBoost using UCB.,Róbert Busa-Fekete
CorrLog: Correlated Logistic Models for Joint Prediction of Multiple Labels.,Dacheng Tao
CorrLog: Correlated Logistic Models for Joint Prediction of Multiple Labels.,Wei Bian
Bayesian Algorithms for Causal Data Mining.,Constantin F. Aliferis
Bayesian Algorithms for Causal Data Mining.,Subramani Mani
Information Retrieval by Inferring Implicit Queries from Eye Movements.,David R. Hardoon
Information Retrieval by Inferring Implicit Queries from Eye Movements.,John Shawe-Taylor
Information Retrieval by Inferring Implicit Queries from Eye Movements.,Kai Puolamäki
Information Retrieval by Inferring Implicit Queries from Eye Movements.,Samuel Kaski
The Neural Autoregressive Distribution Estimator.,Iain Murray 0001
Speeding Up Syntactic Learning Using Contextual Information.,Leonor Becerra-Bonache
Speeding Up Syntactic Learning Using Contextual Information.,Marc Sebban
Speeding Up Syntactic Learning Using Contextual Information.,Michaël Perrot
Speeding Up Syntactic Learning Using Contextual Information.,Élisa Fromont
Latent Variable Models for Dimensionality Reduction.,Zhihua Zhang
Probabilistic acoustic tube: a probabilistic generative model of speech for speech analysis/synthesis.,Zhijian Ou
Evaluation Method for Feature Rankings and their Aggregations for Biomarker Discovery.,Ivica Slavkov
Evaluation Method for Feature Rankings and their Aggregations for Biomarker Discovery.,Saso Dzeroski
Multi-task Learning for Recommender System.,Xia Ning
"Distributed Learning, Communication Complexity and Privacy.",Maria-Florina Balcan
"Distributed Learning, Communication Complexity and Privacy.",Shai Fine
"Distributed Learning, Communication Complexity and Privacy.",Yishay Mansour
Kernels Based Tests with Non-asymptotic Bootstrap Approaches for Two-sample Problems.,Magalie Fromont
Kernels Based Tests with Non-asymptotic Bootstrap Approaches for Two-sample Problems.,Matthieu Lerasle
Kernels Based Tests with Non-asymptotic Bootstrap Approaches for Two-sample Problems.,Patricia Reynaud-Bouret
Nonparametric Estimation of Conditional Information and Divergences.,Jeff G. Schneider
Open Problem: Does AdaBoost Always Cycle?,Ingrid Daubechies
Open Problem: Does AdaBoost Always Cycle?,Robert E. Schapire
Multi-object tracking with representations of the symmetric group.,Risi Kondor
Multi-object tracking with representations of the symmetric group.,Tony Jebara
A Strategy for Making Predictions Under Manipulation.,Laura E. Brown
Tight conditions for consistent variable selection in high dimensional nonparametric regression.,Laëtitia Comminges
On the Convergence Properties of Contrastive Divergence.,Tijmen Tieleman
Reduced-Rank Hidden Markov Models.,Geoffrey J. Gordon
Reduced-Rank Hidden Markov Models.,Sajid M. Siddiqi
Cumulative Restricted Boltzmann Machines for Ordinal Matrix Data Analysis.,Svetha Venkatesh
Cumulative Restricted Boltzmann Machines for Ordinal Matrix Data Analysis.,Truyen Tran 0001
Deep Learning Made Easier by Linear Transformations in Perceptrons.,Tapani Raiko
Deep Learning Made Easier by Linear Transformations in Perceptrons.,Yann LeCun
Learning from Weak Teachers.,Ruth Urner
Learning from Weak Teachers.,Shai Ben-David
Sufficient covariates and linear propensity analysis.,Hui Guo
Variable Selection for Gaussian Graphical Models.,Guillermo A. Cecchi
Variable Selection for Gaussian Graphical Models.,Irina Rish
Variable Selection for Gaussian Graphical Models.,Jean Honorio
Multi-view Positive and Unlabeled Learning.,Joey Tianyi Zhou
Multi-view Positive and Unlabeled Learning.,Qi Mao
Multi-view Positive and Unlabeled Learning.,Sinno Jialin Pan
Boosted Optimization for Network Classification.,Timothy Hancock
Random Design Analysis of Ridge Regression.,Sham M. Kakade
Random Design Analysis of Ridge Regression.,Tong Zhang 0001
Fast b-matching via Sufficient Selection Belief Propagation.,Tony Jebara
Multi-Label Output Codes using Canonical Correlation Analysis.,Yi Zhang 0010
Scalable Personalization of Long-Term Physiological Monitoring: Active Learning Methodologies for Epileptic Seizure Onset Detection.,Zeeshan Syed
Bayesian structure discovery in Bayesian networks with less space.,Pekka Parviainen
Efficient Hypergraph Clustering.,Marius Leordeanu
Lifted Linear Programming.,Kristian Kersting
Lifted Linear Programming.,Martin Mladenov
On Combining Graph-based Variance Reduction schemes.,Vibhav Gogate
Keyword Optimization in Sponsored Search via Feature Selection.,Svetlana Kiritchenko
Spectral Chinese Restaurant Processes: Nonparametric Clustering Based on Similarities.,Christopher D. Manning
Spectral Chinese Restaurant Processes: Nonparametric Clustering Based on Similarities.,Richard Socher
Fast Mean Shift with Accurate and Stable Convergence.,Dongryeol Lee
Fast Mean Shift with Accurate and Stable Convergence.,James M. Rehg
Fast Mean Shift with Accurate and Stable Convergence.,Ping Wang 0012
Ranking by calibrated AdaBoost.,György Szarvas
Ranking by calibrated AdaBoost.,Róbert Busa-Fekete
Ranking by calibrated AdaBoost.,Tamás Éltetö
Convex envelopes of complexity controlling penalties: the case against premature envelopment.,Suchi Saria
Convex envelopes of complexity controlling penalties: the case against premature envelopment.,Vladimir Jojic
The Love-Hate Square Counting Method for Recommender Systems.,Justin Kessler
The Love-Hate Square Counting Method for Recommender Systems.,Kyle Teague
Bayesian Probabilistic Models for Image Retrieval.,Vassilios Stathopoulos 0002
Low rank continuous-space graphical models.,Frank D. Wood
Low rank continuous-space graphical models.,Liam Paninski
MCMC Methods for Bayesian Mixtures of Copulas.,Robert B. Gramacy
Online Learning of Multiple Tasks and Their Relationships.,Hal Daumé III
Online Learning of Multiple Tasks and Their Relationships.,Piyush Rai
Online Learning of Multiple Tasks and Their Relationships.,Suresh Venkatasubramanian
Model-Free Monte Carlo-like Policy Evaluation.,Louis Wehenkel
Model-Free Monte Carlo-like Policy Evaluation.,Raphael Fonteneau
Model-Free Monte Carlo-like Policy Evaluation.,Susan A. Murphy
Sequential Monte Carlo Samplers for Dirichlet Process Mixtures.,Bilge Günsel
Sequential Monte Carlo Samplers for Dirichlet Process Mixtures.,Yener Ülker
Inductive Principles for Restricted Boltzmann Machine Learning.,Bo Chen
Inductive Principles for Restricted Boltzmann Machine Learning.,Kevin Swersky
Inductive Principles for Restricted Boltzmann Machine Learning.,Nando de Freitas
Bayesian Quadrature for Ratios.,Michael A. Osborne
Bayesian Quadrature for Ratios.,Neale Gibson
Bayesian Quadrature for Ratios.,Roman Garnett
Bayesian Quadrature for Ratios.,Stephen J. Roberts
Bayesian Quadrature for Ratios.,Suzanne Aigrain
Factorized Asymptotic Bayesian Inference for Mixture Modeling.,Satoshi Morinaga
Regularization Paths with Guarantees for Convex Semidefinite Optimization.,Martin Jaggi
Regularization Paths with Guarantees for Convex Semidefinite Optimization.,Sören Laue
Conceptual Imitation Learning: An Application to Human-robot Interaction.,Hadi Moradi
Conceptual Imitation Learning: An Application to Human-robot Interaction.,Hossein Hajimirsadeghi
Conceptual Imitation Learning: An Application to Human-robot Interaction.,Majid Nili Ahmadabadi
Conceptual Imitation Learning: An Application to Human-robot Interaction.,Mostafa Ajallooeian
Protocols for Learning Classifiers on Distributed Data.,Hal Daumé III
Protocols for Learning Classifiers on Distributed Data.,Jeff M. Phillips
Protocols for Learning Classifiers on Distributed Data.,Suresh Venkatasubramanian
Seeking The Truly Correlated Topic Posterior - on tight approximate inference of logistic-normal admixture model.,Eric P. Xing
A Fast Bundle-based Anytime Algorithm for Poker and other Convex Games.,H. Brendan McMahan
Minimax Policies for Combinatorial Prediction Games.,Jean-Yves Audibert
Minimax Policies for Combinatorial Prediction Games.,Sébastien Bubeck
Policy-Gradients for PSRs and POMDPs.,Olivier Buffet
Policy-Gradients for PSRs and POMDPs.,Owen Thomas
Learning Dissimilarities for Categorical Symbols.,Jierui Xie
Learning Dissimilarities for Categorical Symbols.,Mohammed J. Zaki
Infinite-Dimensional Kalman Filtering Approach to Spatio-Temporal Gaussian Process Regression.,Simo Särkkä
A Latent Space Approach to Dynamic Embedding of Co-occurrence Data.,Purnamrita Sarkar
A Latent Space Approach to Dynamic Embedding of Co-occurrence Data.,Sajid M. Siddiqi
Analysis of the KDD Cup 2009: Fast Scoring on a Large Orange Customer Database.,Gideon Dror
Analysis of the KDD Cup 2009: Fast Scoring on a Large Orange Customer Database.,Isabelle Guyon
Analysis of the KDD Cup 2009: Fast Scoring on a Large Orange Customer Database.,Marc Boullé
Analysis of the KDD Cup 2009: Fast Scoring on a Large Orange Customer Database.,Vincent Lemaire 0001
Rare Probability Estimation under Regularly Varying Heavy Tails.,Munther A. Dahleh
Reducing Label Complexity by Learning From Bags.,Nathan Srebro
Reducing Label Complexity by Learning From Bags.,Sivan Sabato
Max-Margin Ratio Machine.,Yuhong Guo
Bayesian Gaussian Process Latent Variable Model.,Neil D. Lawrence
Divide and Transfer: an Exploration of Segmented Transfer to Detect Wikipedia Vandalism.,W. Nick Street
Autonomous Experimentation.,Gareth L. Jones 0001
Autonomous Experimentation.,Klaus-Peter Zauner
Autonomous Experimentation.,Steve R. Gunn
Learning and Model-Checking Networks of I/O Automata.,Manfred Jaeger
Gaussian Margin Machines.,Koby Crammer
Gaussian Margin Machines.,Mehryar Mohri
Nonlinear functional regression: a functional RKHS approach.,Hachem Kadri
Nonlinear functional regression: a functional RKHS approach.,Manuel Davy
Nonlinear functional regression: a functional RKHS approach.,Philippe Preux
Nonlinear functional regression: a functional RKHS approach.,Stéphane Canu
Impossibility Theorems for Domain Adaptation.,Shai Ben-David
Impossibility Theorems for Domain Adaptation.,Teresa Luu
Impossibility Theorems for Domain Adaptation.,Tyler Lu
Non-Negative Semi-Supervised Learning.,HongJiang Zhang
Non-Negative Semi-Supervised Learning.,Lei Zhang 0001
Non-Negative Semi-Supervised Learning.,Shuicheng Yan
Adaptive Metropolis with Online Relabeling.,Gersende Fort
Adaptive Metropolis with Online Relabeling.,Olivier Cappé
Adaptive Metropolis with Online Relabeling.,Rémi Bardenet
Using GNUsmail to Compare Data Stream Mining Methods for On-line Email Classification.,José M. Carmona-Cejudo
Using GNUsmail to Compare Data Stream Mining Methods for On-line Email Classification.,João Gama 0001
Using GNUsmail to Compare Data Stream Mining Methods for On-line Email Classification.,Manuel Baena-García
Using GNUsmail to Compare Data Stream Mining Methods for On-line Email Classification.,Rafael Morales Bueno
Efficient Reductions for Imitation Learning.,Stéphane Ross
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chen-Tse Tsai
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Cheng-Hao Tsai
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chia-Mau Ni
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chieh-Yen Lin
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chien-Chih Wang
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chih-Jen Lin
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chun-Liang Li
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chun-Sung Ferng
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Chung-Yi Li
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Hsuan-Tien Lin
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Ku-Chun Chou
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Kuan-Wei Wu
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Po-Lung Chen
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Po-Wei Wang
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Rong-Bing Chiu
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Shou-De Lin
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Shu-Hao Yu
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Todd G. McKenzie
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Tsung-Ting Kuo
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Wei-Lun Su
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Wei-Shih Lin
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Ya-Hsuan Chang
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Yao-Nan Chen
Novel Models and Ensemble Techniques to Discriminate Favorite Items from Unrated Ones for Personalized Music Recommendation.,Yu-Cheng Chou
Contextual Bandit Learning with Predictable Rewards.,John Langford 0001
Contextual Bandit Learning with Predictable Rewards.,Miroslav Dudík
