paper,volume
Scheduling of Conditional Executed Jobs on Unrelated Processors,93-04
Constraint Decomposition Algorithms in Global Optimization,93-15
How Much ExOR Improves on OR?,93-07
A Product Theorem for Markov Chains with Application to PF-Queueing Networks,01-11
Zur Berechnung optimaler Steuerungen über Momentenungleichungen,00-04
On the Distribution of càdlàg Processes without Explosions,02-02
On Optimization Properties of Functions with a Concave Minorant,97-11
Phasentyp-Verteilungen und Matrix-analytische Methoden,99-15
The Electronic Colloquium on Computational Complexity (ECCC): A Digital Library in Use,97-16
An Even Faster Solver for General Systems of Equations,96-11
Inductive Counting below LOGSPACE,94-12
Quantization for Probability Measures with Respect to the Geometric Mean Error,02-04
Analysis and Manipulation of Boolean Functions in Terms of Decision Graphs,92-07
On MAPA/G/K/K Stations,99-18
An EM Algorithm for Batch Markovian Arrival Processes and its Comparison to a Simpler Estimation Procedure,01-14
Stable Methods for Variational Inequalities with Set Valued Monotone Operators,97-07
Monotonous Oracle Machines,95-02
On Multiparity Games for Pointer Jumping,95-09
Interprocedural Invariants,02-10
"The Möbius Function, Variations Ranks, and Theta(n)-Bounds on the Modular Communication Complexity of the Undirected Graph Connectivity Problem",94-04
On the Complexity of One Branching Graphs,92-12
A Note on Möbius Functions and the Communication Complexity of the Graph-Accessability-Problem,92-05
Lock-Keeper Technology - A New Network Security Solution,03-05
Cascade: A Simple and Efficient Algorithm for Priority Queues,94-15
Efficient Boolean Manipulation with OBDD's can be Extended to FBDD's,93-12
Case Study: Manipulating xor-OBDDs by Means of Signatures,97-15
Exact Analysis of Closed Synchronized Systems of Stochastic Sequential Processes,93-02
Operator-Geometric Solutions for the M/G/k Queue and its Variants,00-11
A New LP-Bound in Multivariate Lipschitz Optimization: Application to Unconstrained and Linearly Constrained Problems and to Systems of Inequalities,94-08
Complexity of Finite-Horizon Markov Decision process Problems.,99-25
The Graph of Integer Multiplication is Hard for Read-k-Times Networks,95-10
Two short notes,01-18
On Smoothing of Generalized max-Functions via epsilon-Regularization,96-14
An Adequate Reducibility Concept for Problems Defined in Terms of Ordered Binary Decision Diagrams,96-02
On Continuous Deformations of Semi-Infinite Optimization Problems,94-02
Accelerating OBDD-Minimization by Means of Structural and Semantical Properties,98-25
Distributed Script - A Mobile Application for Multi-hop Ad-hoc Networks,06-02
On the Expressiveness of Tree Set Operators,02-17
On the Joint Distribution Functions of Order Statistics with Reference to Step-up Multiple Test Procedures,93-19
Ordered Binary Decision Diagrams and Their Significance in Computer-Aided Design of VLSI Circuits,98-01
Polynomial Constants are Decidable,02-09
Spatial Generalization of BMAP's with Finite State Space,98-11
On Generalized Bisection of N-Simplices,96-06
An Integer Concave Minimization Approach for the Minimum Concave Cost Capacitated Flow Problem on Networks,94-13
Practical PRAM Programming with Fork95 - A Tutorial,97-12
Scheduling and Related Graph Theoretical Problems,93-24
Computational Convexity,96-25
Convergence of Disturbed Martingales and a Stochastic Model for Annuity Funds,99-08
Approximation Algorithms for Register Allocation,96-13
The Theory of Optimal Sampling in Continuous Time,97-25
Lower Bounds for Randomized Branching Programs with a Big OBDD Part,00-13
Inexact SQP Interior Point Methods and Large Scale Optimal Control Problems,96-09
Applying Formal Verification with Protocol Compiler,99-29
On Regularisation of Nonconvex Problems,01-17
Finite Limits and Lower Bounds for Circuits Size,94-06
On Alternating vs. Parity Communication Complexity,98-20
Quantization for Probability Measures in the Prohorov Metric,02-03
Fast and Simple Nested Fixpoints,96-05
Xor-OBDDs - a BDD Structure for Probabilistic Verification,98-28
Polytopes in Combinatorial Optimization,96-08
Medizinische Bildverarbeitung - eine Übersicht,04-03
Local Convergence of the Symmetric Rank-One Iteration,95-07
Expressing Uniformity via Oracles,95-01
Computational Design of Stabilizing Static Output Feedback Controllers,99-01
A Piecewise-Deterministic Model for Brownian Motion,02-06
Design and Implementation of a PHP-based Web Server for the Tele-Lab IT Security,03-06
On the GI/G/k Queue with Lebesgue-Dominated Inter-Arrival Time Distribution,01-10
A Phase Space Model for Spatial BMAPs,98-15
Binary Decision Diagrams and the Multiple Variable Order Problem,98-22
A New Proof of the Beckenbach Inequalities,03-02
Primal-Dual Contraint Aggregation Method in Multistage Stochastic Programming,97-26
A Pre-Dual for the Convolution Algebra D'(Gamma+),93-13
An Optimization Algorithm for the MAP/PH/K Queue with Heterogeneous Servers,02-11
Propositional Proofs and Their Complexity,99-21
Nonapproximability Results for Partially Observable Markov Decision Processes,00-12
Spatial Queues with Infinitely Many Servers,99-04
Method for Global Optimization of Class of Nonlinear Bilevel Programming Problems,02-14
Local Encoding Transformations for Optimizing OBDD-Representations of Finite State Machines,96-23
A new Algorithm for Solving the General Quadratic Programming Problem,93-22
Dual Characterization of Super-Hedging Prices in a Currency Market with Proportional Transaction Costs,99-24
Die Entwicklung der Informatik braucht Theorie und Praxis: Ein Fallbeispiel aus dem CAD-Schaltkreisentwurf,95-21
Simultaneous Pseudo-Timestepping for Aerodynamic Shape Optimization Problems with State Constraints,04-06
Combinational Logic Verification with FBDDs,93-08
Speeding Up Symbolic Model Checking by Accelerating Dynamic Variable Reordering,99-28
Probabilistic Verification of Multiple-Valued Functions,99-23
From Markov Jump Processes to Inhomogeneous BMAPs,02-01
The Structure Theorem for Linear Transfer Systems,92-02
Proximal Point Methods in Examples,96-20
ForkLight: A Control-Synchronous Parallel Programming Language,98-13
Improving XOR-Node Placement for (+)-OBDDs,01-07
Boolean Manipulation with Free BDD's - First Experimental Results,93-20
Separation by Hyperplanes in Finite-Dimensional Vector Spaces Over Archimedean Ordered Fields,97-02
Successive Determination and Verification of Polytopes by their X-Rays,92-03
On the Power of Polynomial Bit-Reductions,92-28
Cross-Positive Matrices Revisited,93-17
Vom M/G/1- zum BMAP/G/1-Modell,02-18
Precise Interprocedural Dependence Analysis of Parallel Programs,02-08
The Disjoint Cliques Problem,92-23
Stability Conditions for the BMAP/G/1 Queue with Level Dependent Arrivals,98-18
On the Complexity of a Licence Constrained Job Assignment Problem,92-15
Differences in productivity and impact across the different computer science subareas.,IC-12-08
Local and global causes,TUM I 9132
Introduction to differential algebraic equations in vehicle system dynamics,TUM M 9006
Zur formalen Beschreibung der funktionalen Anforderungen an ein Informationssystem,TUM I 9332
Extrapolation techniques for constructing higher order finite element methods,TUM I 9304
Answers for disjunctive logic programs,TUM I 9125
PART: a parallel relational toolbox as basis for the optimization and interpretation of parallel queries,TUM I 9229
Reducing rollback overhead in time warp based distributed simulation with optimized incremental state saving,TUM I 9317
Modular specification of process algebras,TUM I 9051
A deadlock-sensitive congruence for action refinement,TUM I 9044
Wissensrepräsentation in künstlichen symbolverarbeitenden Systemen,FKI 91 88
Iteration theories of synchronization trees,TUM I 9014
"The visibility problem for single valued surface (z = f(x,y)): the analysis and the parallelization of algorithms",TUM I 9318
Remarks on the abstract theory of additive and multiplicative Schwarz algorithms,TUM I 9314
LOLA: a logic language for deductive databases and its implementation,TUM I 9043
Irreduzible induzierte Darstellungen von ICC-Gruppen,TUM M 9005
Equivalences and refinement,TUM I 9024
Distributed Systems: A Comprehensive Survey,TUM I 8909
The MAX system: a tutorial introduction,TUM I 9307
Mapping a generator for neural network simulators to a transputer system,FKI 137 90
Characterizing the behavior of reactive systems by trace sets,TUM I 9102
A simulator for VLIW architectures,TUM A 9016
An O(n3) learning algorithm for fully recurrent networks,FKI 151 91
Modelling and performance analysis of a parallel theorem prover,TUM I 9129
Logic and reasoning with neural models,FKI 99 89
Modul fault localization in a software toolbus based system,FKI 88 88
Relative representation of spatial knowledge: the 2-D case,FKI 135 90
Optimal parallel algorithms for computing recursively defined functions,TUM I 9218
Parallel program development for a recursive numerical algorithm: a case study,TUM I 9208
Implementierung von Algorithmen zut Kompaktifizierung von Programmen für VLIW-Architekturen,TUM I 9116
A relation algebraic approach to modal correspondences,TUM I 9137
Improved multilevel algorithms for full and sparse grid problems,TUM I 9225
An approach to parallel unification using transputers,FKI 101 89
Neuronale Netzwerk-Paradigmen zum Erlernen von Heuristiken,TUM I 9233
Logic oriented program synthesis,FKI 90 88
Neural sequence chunkers,FKI 148 91
A combination technique for the solution of sparse grid problems,TUM I 9038
Loop program synthesis using array traversing modules,FKI 93 88
Stabilitätsuntersuchung von Differenzenverfahren mit Hilfe der Resultantenalgebra unter Verwendung des REDUCE-Systems,TUM I 9120
Quality criteria for partial order semantics of place/transitions nets,TUM I 9004
Fixpoint evaluation with subsumption for probabilistic uncertainty,TUM I 9237
Eine Parallele zwischen Differentialgleichungen und diskreter Simulation: nebst Anwendung auf das Problem der verteilten Simulationsausführung,TUM I 9118
Elements of a temporal logic coping with concurrency,TUM I 9234
Verallgemeinerte kinematische Räume,TUM M 9009
Convergence of the combination technique for the finite element solution of Poisson's equation,TUM I 9328
Parallelization of inference systems by using an abstract machine,TUM I 9133
"Assumption, commitment rules for networks of asynchronously communicating agents",TUM I 9303
Performance analysis of competitive OR-parallel theorem proving,FKI 162 91
Numerical integration of multibody systems by a projection technique,TUM M 9201
Ein Semi-Kollokationsverfahren zur numerischen Lösung von Nierenmodellen,TUM M 8501
Development and implementation of a communication protocol: an exercise in FOCUS,TUM I 9205
System and environmen: The philosophers revisited,TUM I 9040
Probleme regelbasierter Repräsentation von Wissen in juristischen Expertensystemen,FKI 139 90
Performance analysis and optimization of numerically intensive programs,TUM I 9238
Software-Retrieval-Systeme - übersicht und Kriterien zur Bewertung,FKI 159 91
A generalization of trace theory,TUM I 9018
Combining neural and evolutionary learning : aspects and approaches,FKI 132 90
Conceptual neighborhood and its role in temporal and spatial reasoning,FKI 146 91
Element oriented and edge oriented local error estimators for nonconforming finite element methods,TUM M 9206
Branching time and abstraction in bisimulation semantics,TUM I 9052
Towards an optimal design of distributed file systems,TUM I 9122
Numerical standard form for asymptotic two-point boundary value problems,TUM M 9205
Beyond Hebb synapses: biological building blocks for unsupervised learning in artificial neural networks,FKI 140 90
Implementing high level identification specifications,TUM I 9222
Artificial neural learning,FKI 127 90
s: exploiting the structure of space,FKI 176 93
Diagrammtical aspects of qualitative representations of space,FKI 164 92
Expressing first order logic within Horn Clause logic,FKI 96 88
Ein System zur Erforschung qualitativer Objektrepräsentationen: SEqO,FKI 154 91
Action oriented learning in classifier systems,FKI 158 91
Synergy between formal and pragmatic software engineering methods,TUM I 9323
Towards a lattice of knowledge representation systems,FKI 150 91
A knowledge and deduction based software retrieval tool,FKI 160 91
