paper,cites
Consistent rights on property spaces.,Hull and Geodetic Numbers for Some Classes of Oriented Graphs.
Contextual deliberation and the choice-valuation preference reversal.,Directional Statistics on Permutations.
"Disclosure, competition, and learning from asset prices.",Fuzzy Grammar-based Prediction of Amyloidogenic Regions.
"Disclosure, competition, and learning from asset prices.",Towards Multi-Level Semantics for Multi-Agent Systems.
"Stock-based pay, liquidity, and the role of market making.",Loopy Belief Propagation for Bipartite Maximum Weight b-Matching.
"Stock-based pay, liquidity, and the role of market making.","Toward a Noncommutative Arithmetic-geometric Mean Inequality: Conjectures, Case-studies, and Consequences."
"Stock-based pay, liquidity, and the role of market making.",Coalgebraic Update Lenses.
"Stock-based pay, liquidity, and the role of market making.",Compiling Join-Patterns.
Designing referenda: An economist's pessimistic perspective.,Long Normal Form Proof Search and Counter-Model Generation.
Allocating positions fairly: Auctions and Shapley value.,Quality of Service Conflict During Web Service Monitoring: A Case Study.
Allocating positions fairly: Auctions and Shapley value.,A Testing Equivalence for Reactive Probabilistic Processes.
Allocating positions fairly: Auctions and Shapley value.,Simple preference intensity comparisons.
Allocating positions fairly: Auctions and Shapley value.,Digital design of crystalline solids.
Shadow links.,Fast Kernel ICA using an Approximate Newton Method.
Shadow links.,A framework for optimizing oxygen vacancy formation in doped perovskites.
Shadow links.,"The Expressive Power of Urgent, Lazy and Busy-Waiting Actions in Timed Processes."
Shadow links.,The Effects of Effects on Constructivism.
The supply of hours worked and fluctuations between growth regimes.,JIT-Based Cost Analysis for Dynamic Program Transformations.
The supply of hours worked and fluctuations between growth regimes.,Visual Patterns Associated to Abstract Trees.
Blast from the past: The altruism model is richer than you think.,Directional Statistics on Permutations.
Creating confusion.,Barbs and Congruences for Safe Mobile Ambients.
Creating confusion.,Cooperation of constraint solvers: using the new process control facilities of ELAN.
Confounding dynamics.,Partial strategyproofness: Relaxing strategyproofness for the random assignment problem.
Confounding dynamics.,Coordinating Aspects and Objects.
Asymptotic behavior of Bayesian learners with misspecified models.,CCS semantics via proved transition systems and rewriting logic.
Asymptotic behavior of Bayesian learners with misspecified models.,A Smartphone-Based Adaptive Recognition and Real-Time Monitoring System for Human Activities.
Asymptotic behavior of Bayesian learners with misspecified models.,On Computing the Path Number of a Graph.
A theory of dynamic contracting with financial constraints.,A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.
Bayesian persuasion with costly messages.,Goals and Resource Constraints in CARMA.
Bayesian persuasion with costly messages.,Generating Functional Implementations of Finite State Automata in C# 3.0.
Optimal selling mechanisms with buyer price search.,Run-Time Checking of Dynamic Properties.
Optimal selling mechanisms with buyer price search.,Collaborative Filtering on a Budget.
Optimal selling mechanisms with buyer price search.,Efficient Multioutput Gaussian Processes through Variational Inducing Kernels.
Optimal selling mechanisms with buyer price search.,A Formalisation of Nominal α-equivalence with A and AC Function Symbols.
Testing the sender: When signaling is not enough.,A Connection Between Concurrency and Language Theory.
Testing the sender: When signaling is not enough.,Semi-Automated Component-Based Development of Formally Verified Software.
Testing the sender: When signaling is not enough.,Large-Margin Structured Prediction via Linear Programming.
Testing the sender: When signaling is not enough.,Building Verification Condition Generators by Compositional Extension.
Trading networks of price-taking buyers and sellers.,Proper Multi-Type Display Calculi for Rough Algebras.
Trading networks of price-taking buyers and sellers.,Variational Learning of Inducing Variables in Sparse Gaussian Processes.
Trading networks of price-taking buyers and sellers.,Parsing as a lifting problem and the Chomsky-Schützenberger representation theorem.
Information acquisition and provision in school choice: An experimental study.,A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.
Optimal sales mechanism with outside options.,The Ethics of 'Deathbots'.
Optimal sales mechanism with outside options.,An Algebraic Approach to Population-Based Evolutionary Algorithm Generation.
The effect of handicaps on turnout for large electorates with an application to assessment voting.,A Calculus for Automatic Verification of Petri Nets Based on Resolution and Dynamic Logics.
Compromise is key in infinitely repeated bargaining with an Evergreen Clause.,The supply of hours worked and fluctuations between growth regimes.
Compromise is key in infinitely repeated bargaining with an Evergreen Clause.,Recursive equilibrium in Krusell and Smith (1998).
Compromise is key in infinitely repeated bargaining with an Evergreen Clause.,Non-deterministic Effects in a Realizability Model.
The anatomy of sentiment-driven fluctuations.,Correlated Information: A Logic for Multi-Partite Quantum Systems.
The anatomy of sentiment-driven fluctuations.,Strategies as Concurrent Processes.
The anatomy of sentiment-driven fluctuations.,On Equators in Asynchronous Name-passing Calculi without Matching.
The anatomy of sentiment-driven fluctuations.,A revelation principle for correlated equilibrium under trembling-hand perfection.
Mandatory disclosure and financial contagion.,A Geometric View of Partial Order Reduction.
Demand cycles and heterogeneous conformity preferences.,Multiproduct pipeline scheduling integrating for inbound and outbound inventory management.
Demand cycles and heterogeneous conformity preferences.,ITIL process management to mitigate operations risk in cloud architecture infrastructure for banking and financial services industry.
Demand cycles and heterogeneous conformity preferences.,Survival of the Fattest: Evolutionary Trade-offs in Cellular Resource Storage.
Information aggregation with runoff voting.,How Many Argument Digits are Needed to Produce n Result Digits?
Information aggregation with runoff voting.,Compressing Propositional Refutations.
Information aggregation with runoff voting.,A methodology to reduce the computational cost of transient multiphysics simulations for waste vitrification.
Partial strategyproofness: Relaxing strategyproofness for the random assignment problem.,Credo Methodology: Modeling and Analyzing A Peer-to-Peer System in Credo.
Partial strategyproofness: Relaxing strategyproofness for the random assignment problem.,The Future Ethics of Artificial Intelligence in Medicine: Making Sense of Collaborative Models.
Partial strategyproofness: Relaxing strategyproofness for the random assignment problem.,Dissimilarity in Graph-Based Semi-Supervised Classification.
Mixed strategies and preference for randomization in games with ambiguity averse agents.,Crystallization of calcium carbonate and magnesium hydroxide in the heat exchangers of once-through Multistage Flash (MSF-OT) desalination process.
Optimal test allocation.,Efficient formulations for dynamic warehouse location under discrete transportation costs.
Optimal test allocation.,A Tutorial on Specifying Data Structures in Maude.
Optimal test allocation.,"Relating Toy Models of Quantum Computation: Comprehension, Complementarity and Dagger Mix Autonomous Categories."
Optimal test allocation.,"An Ensemble of Three Classifiers for KDD Cup 2009: Expanded Linear Model, Heterogeneous Boosting, and Selective Naive Bayes."
Monitoring and incentives under multiple-bank lending: The role of collusive threats.,A Taxonomy of Infinite State Processes.
Monitoring and incentives under multiple-bank lending: The role of collusive threats.,Combinator Parsers - From Toys to Tools.
Monitoring and incentives under multiple-bank lending: The role of collusive threats.,Model Driven Development of Security Aspects.
Monitoring and incentives under multiple-bank lending: The role of collusive threats.,Learning Sparse Markov Network Structure via Ensemble-of-Trees Models.
Consistency of the doctor-optimal equilibrium price vector in job-matching markets.,Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.
